# Page 226 Column 1	
taba~d	tabard
tnb	tenable
ntnb	untenable
tn^s	tenacity
pe~tnash	pertinacious
pe~tn^s	pertinacity
tnash	tenacious
tnnt	tenant
tnanse	tenancy
	
# Page 229 Column 1	
tnntb	tenantable
tnntd	tenanted
tnntl	tenantless
tnntre	tenantry
ntnntd	untenanted
tnd	tend
tndd	tended
tntnse	tendency
tnde~	tender
tnde~d	tendered
tnde~^r	tenderer
tnde~^st	tenderest
tnderfut	tenderfoot
tndeloen	tenderloin
tnde~e	tenderly
tndenes	tenderness
tndn	tendon
tndrel	tendril
tnbrus	tenebrous
tnem	tenement
tnet	tenet
tnes	tennis
tnon	tenon
tnor	tenor
tns	tense
	
# Page 229 Column 2	
tnser	tenser
tnses	tensest
tnsel	tensile
tnsh	tension
tnshl	tensional
tn^s	tensity
tnt	tent
tnt^k	tentacle
tntatv	tentative
tneute	tenuity
atneutd	attenuated
tnuus	tenuous
tepe	tepee
tepd	tepid
ter-sentnre	tercentenary
tem	term
tem^t	termed
temnb	terminable
tmnl	terminal
tmna|	terminally
tmnat	terminate
temnsh	termination
temn^o(	terminology
temnus	terminus
teras	terrace
	
# Page 229 Column 3	
terakota	terra cotta
teran	terrain
terpn	terrapin
terestrl	terrestrial
terf	terrify
terb	terrible
terefk	terrific
teref^ke	terrifically
te~t	territory
te~tl	territorial
te~t^l	territoriality
te~tliz	territorialize
te~tle	territorially
terr	terror
terr-sm	terrorism
terres	terrorist
terr^st	terroristic
terrezash	terrorization
terriz	terrorize
terrizer	terrorizer
ters	terse
tersnes	terseness
terser	terser
terses	tersest
tershre	tertiary
	
# Page 230 Column 1	
tesela	tessellate
teselash	tessellation
tes	test
tes^t	tested
tes^r	tester
tes-s	tests
n-tes^t	untested
testam	testament
testamre	testamentary
testa	testate
testa^r	testator
tesdf	testify
testm	testimonial
testme	testimony
tetnus	tetanus
teth	tether
tetragn	tetragon
tetrag	tetragonal
tetr^o(	tetralogy
tutnek	Teutonic
tx	text
txbk	textbook
txtl	textual
txtle	textually
textl	textile
	
# Page 230 Column 2	
textr	texture
thn	than
than	thane
th'	thank
th^t	thanked
th^f	thankful
th^l	thankless
th^s(	thanks
th^s(ge'	thanksgiving
tha	that
thach	thatch
tho	thaw
thete~	theater
thetrk	theatric
thetr^k	theatrical
thetr^ks	theatricals
the	thee
th)s	theirs
thesm	theism
athesm	atheism
panthesm	pantheism
thm	them
thmss	themselves
thn	then
thens	thence
	
# Page 230 Column 3	
thensfth	thenceforth
thensfd	thenceforward
thekse	theocracy
thedli	theodolite
the^o(	theology
the^on	theologian
there	theory
therem	theorem
ther^a	theoretic
theres	theorist
theriz	theorize
therizer	theorizer
tho-sfe	theosophy
tho-sfk	theosophic
tho-sf^k	theosophical
tho-sfes	theosophist
therpe	therapy
therp^a	therapeutic
therp^a|	therapeutical
th)	there
th)ab	thereabout
th)af	thereafter
th)t	thereat
th)b	thereby
th)f	therefore
	
# Page 231 Column 1	
th)fm	therefrom
th)n	therein
th)ntu	thereinto
tho	thereof
thon	thereon
th)tu	thereto
th)tf	theretofore
th)pon	thereupon
th)eth	therewith
th)em	therm
th)eml	thermal
th)emin	thermion
th)emit	thermite
th)emmete~	thermometer
th)emmetrk	thermometric
th)emmetr^k	thermometrical
th)emostat	thermostat
thesrus	thesaurus
thes	these
thess	thesis
theses	theses
theu	thew
the	they
thek	thick
thekn	thicken
	
# Page 231 Column 2	
thekne~	thickener
thekr	thicker
theket	thicket
theke	thickly
theknes	thickness
thef	thief
theft	theft
thevre	thievery
thevsh	thievish
thi	thigh
themb	thimble
then	thin
thene~	thinner
then-nes	thinness
thenes	thinnest
th'	thing
ne'	anything
ev'	everything
n'	nothing
plath'	plaything
sm'	something
th^s(	things
th'	think
th^b	thinkable
th'r	thinker
	
# Page 231 Column 3	
th^s(	thinks
nth^b	unthinkable
therst	thirst
therste|	thirstily
therstenes	thirstiness
therste	thirsty
ths	this
thesl	thistle
theth	thither
thol	thole
thong	thong
thorask	thoracic
thorm	thorium
thon	thorn
th)e	thorough
th)e^bred	thoroughbred
th)e^far	thoroughfare
th)e	thoroughly
th)enes	thoroughness
ths(	those
thau	thou
tho	though
thot	thought
thotf	thoughtful
thotl	thoughtless
	
# Page 232 Column 1	
thau	thousand
thaufold	thousandfold
thaus	thousands
thauth	thousandth
throl	thrall
thrash	thrash
thred	thread
thredbar	threadbare
threduum	threadworm
thret	threat
thretn	threaten
thretnd	threatened
th)e	three
threnode	threnody
thrshold	threshold
thru	threw
thris	thrice
threft	thrift
spndthreft	spendthrift
threfte|	thriftily
threftenes	thriftiness
threftl	thriftless
threfte	thrifty
threl	thrill
thriv	thrive
	
# Page 232 Column 2	
thrivd	thrived
throv	throve
throt	throat
throtenes	throatiness
throb	throb
thron	throne
dthron	dethrone
nth(rond	enthroned
throng	throng
throtl	throttle
thru	through
thrut	throughout
thro	throw
thru	threw
thron	thrown
thrsh	thrush
thrust	thrust
thud	thud
thug	thug
th)m	thumb
th)mp	thump
th)ndr	thunder
th)ndrbolt	thunderbolt
thndrus	thunderous
thndrshaur	thundershower
	
# Page 232 Column 3	
thus	thus
tho_t	thwart
thi	thy
thin	thine
this	thyself
tim	thyme
thiroe	thyroid
ta&era	tiara
tebtn	Tibetan
tid	tide
tido_te~	tidewater
tide	tidy
tider	tidier
tide^st	tidiest
tidenes	tidiness
n-tide	untidy
tigr	tiger
tit	tight
a~tit	air-tight
titn	tighten
titnd	tightened
tite~	tighter
tites	tightest
tild	tiled
te~	till
	
# Page 233 Column 1	
nte	until
telt	tilt
teltd	tilted
tmbr	timber
tm	time
tmone~^t	time-honored
tmkp^r	timekeeper
tml	timeless
tme	timely
tmpes	timepiece
tmr	timer
tmtab	time-table
tmed	timid
ntmedt	intimidate
tmedte	timidity
tmede	timidly
tmrus	timorous
ten	tin
tena~_	tinware
tenktr	tincture
tnde~	tinder
tnj	tinge
tengl	tingle
tenke~	tinker
tenkl	tinkle
	
# Page 233 Column 2	
tnsel	tinsel
tent	tint
tentd	tinted
tine	tiny
tiner	tinier
tine^st	tiniest
tira	tirade
ti~	tire
ti~d	tired
tirl	tireless
tirsm	tiresome
teshu	tissue
titnem	titanium
tith	tithe
tetla	titillate
tetvat	titivate
tit	title
tetpaj	title-page
tetlr	titular
tet-maus	titmouse
titra	titrate
titrash	titration
tod	toad
todstul	toadstool
tost	toast
	
# Page 233 Column 3	
tostd	toasted
tost-mas	toastmaster
tbako	tobacco
tbgan	toboggan
tokata	toccata
toksen	tocsin
tda	today
toga	toga
tug	together
toel	toil
toelf	toilful
toel-sm	toilsome
tokn	token
to	told
n-to	untold
tolra	tolerate
tolrb	tolerable
tolrns	tolerance
tolrant	tolerant
tolrash	toleration
tom'ok	tomahawk
tmato	tomato
tum	tomb
tumston	tombstone
tmo	tomorrow
	
# Page 234 Column 1	
t-n	ton
t-nj	tonnage
ton	tone
mnoton	monotone
tonl	tonal
ton^l	tonality
tng	tongue
tni	tonight
tnsel	tonsil
tnseli	tonsillitis
tnshu	tonsure
tns(orl	tonsorial
tontn	tontine
tul	tool
tuth	tooth
teth	teeth
tuthak	toothache
tutht	toothed
tuth(l	toothless
tuthpek	toothpick
tuthsm	toothsome
top	top
topaz	topaz
tpk	topic
tp^k	topical
	
# Page 234 Column 2	
tp^oe	topography
torch	torch
tomnt	torment
tomntd	tormented
tomnte~	tormentor
tonado	tornado
topdo	torpedo
topr	torpor
topd	torpid
tork	torque
torent	torrent
torensh	torrential
torensha|	torrentially
tored	torrid
toredte	torridity
tosh	torsion
toso	torso
tot	tort
totus	tortoise
totuus	tortuous
totu^s	tortuosity
totr	torture
tot	total
tot^l	totality
totlezash	totalization
	
# Page 234 Column 3	
totlizer	totalizer
tota|	totally
totm	totem
tote~	totter
tch	touch
tchb	touchable
tchd-n	touchdown
tche|	touchily
tchenes	touchiness
tchston	touchstone
n-tcht	untouched
tuf	tough
tufn	toughen
tufnd	toughened
tufr	tougher
tur	tour
tures	tourist
turmalen	tourmaline
tunam	tournament
tuneket	tourniquet
tausl	tousle
tod	toward
taul	towel
taur	tower
t-n	town
	
# Page 235 Column 1	
t-n^sh	township
toxk	toxic
tox^s	toxicity
toxk^o(	toxicology
tras	trace
retras	retrace
trasb	traceable
trast	traced
traser	tracer
trasere	tracery
traka&'	trachea
trakma	trachoma
trak	track
trakj	trackage
trakl	trackless
trakman	trackman
trak	tract
trakb	tractable
traksh	traction
trakv	tractive
trakr	tractor
tra	trade
tra^t	traded
tramark	trade-mark
tra^r	trader
	
# Page 235 Column 2	
trasman	tradesman
tradsh	tradition
tradshl	traditional
tradsha|	traditionally
tradus	traduce
trafk	traffic
trajde	tragedy
trajda&'n	tragedian
trajk	tragic
traj^k	tragical
tran	train
trand	trained
trane~	trainer
tran-man	trainman
trate~	traitor
traterus	traitorous
tratres	traitress
trajktre	trajectory
traml	trammel
tramld	trammeled
tramp	tramp
trampl	trample
trama_	tramway
trans	trance
trank	tranquil
	
# Page 235 Column 3	
trankezash	tranquilization
trankiz	tranquilize
trank^l	tranquillity
tranke	tranquilly
t^ak	transact
t^aksh	transaction
t^atlant	transatlantic
t^nd	transcend
t^nd-ns	transcendence
t^nd-nt	transcendent
t^nd-ntl	transcendental
t^kr	transcribe
t^kr	transcript
t^krsh	transcription
t^p	transept
t^fer	transfer
t^ferb	transferable
t^ferens	transference
nt^ferb	untransferable
t^fegr	transfigure
t^fegrash	transfiguration
t^fex	transfix
t^fm	transform
t^fmsh	transformation
t^fme~	transformer
	
# Page 236 Column 1	
t^feu	transfuse
t^feush	transfusion
t^gres	transgress
t^gresh	transgression
t^greser	transgressor
t^sht	transient
t^shns	transience
t^t	transit
t^sh	transition
t^shl	transitional
t^sha|	transitionally
t^tv	transitive
t^tre	transitory
t^la	translate
t^la^b	translatable
t^lash	translation
t^la^r	translator
nt^la^b	untranslatable
t^let	transliterate
oblet	obliterate
t^lusns	translucence
t^lusnt	translucent
t^met	transmit
t^mes^b	transmissibility
t^mesb	transmissible
	
# Page 236 Column 2	
t^msh	transmission
t^metl	transmittal
t^mete~	transmitter
t^mog	transmogrify
t^mut	transmute
t^mut^b	transmutability
t^mutb	transmutable
t^mutsh	transmutation
t^m	transom
t^parense	transparency
t^parent	transparent
t^pi	transpire
t^prash	transpiration
t^plant	transplant
t^plantsh	transplantation
t^plantd	transplanted
t^pot	transport
t^potb	transportable
t^potsh	transportation
t^potd	transported
t^po	transpose
t^pos	transposes
t^posh	transposition
t^sh	transship
t^s-stnsha&'t	transubstantiate
	
# Page 236 Column 3	
t^s-stnsha&'sh	transubstantiation
t^ves	transverse
t^vesl	transversal
trapez	trapeze
troma	trauma
trom^a	traumatic
traval	travail
trav	travel
trav^r	traveler
traves	traverse
traveste	travesty
trechre	treachery
trechrus	treacherous
trekl	treacle
tred	tread
trod	trod
trodn	trodden
tredl	treadle
tresn	treason
tresnb	treasonable
treshu	treasure
treshu^t	treasured
treshu^r	treasurer
treshus	treasures
treshu	treasury
	
# Page 237 Column 1	
tret	treat
tretes	treatise
tret-m	treatment
trete	treaty
treb	treble
tremb	tremble
tremnus	tremendous
tremlo	tremolo
tremr	tremor
tremlus	tremulous
trench	trench
trenchse	trenchancy
trenchant	trenchant
trenche~	trencher
trepn	trepan
trefin	trephine
trepdsh	trepidation
n^pd	intrepid
trespas	trespass
trespaser	trespasser
tresl	trestle
tra&ed	triad
tril	trial
tra&eng	triangle
tra&engu	triangular
	
# Page 237 Column 2	
tra&eng^u	triangulate
trib	tribe
tribl	tribal
tribsman	tribesman
treb^ush	tribulation
tribn	tribune
tribnl	tribunal
trebt	tribute
trebtre	tributary
trek	trick
trekre	trickery
treke|	trickily
trekenes	trickiness
trekste~	trickster
trekl	trickle
trekld	trickled
tris^k	tricycle
tridn	trident
tra&enl	triennial
trif	trifle
trif^r	trifler
tregr	trigger
treg	trigonometry
tregk	trigonometric
treln	trillion
	
# Page 237 Column 3	
trelm	trillium
trelje	trilogy
trem	trim
treme	trimly
tremd	trimmed
treme~	trimmer
trem-nes	trimness
tr^nt	trinity
trenket	trinket
treo	trio
trefthong	triphthong
trepl	triple
treple	triplet
triplex	triplex
treplek	triplicate
trepleksh	triplication
trepe	triply
treptek	triptych
trisek	trisect
trit	trite
tretra	triturate
tretrash	trituration
trimf	triumph
trimfl	triumphal
trimfnt	triumphant
	
# Page 238 Column 1	
trimvra	triumvirate
tra&en	triune
treva&'l	trivial
trev^l	triviality
treva|	trivially
troke	troche
trole	trolley
trombon	trombone
trup	troop
trupr	trooper
trpk	tropic
trp^k	tropical
troth	troth
trbdur	troubadour
trb	trouble
trbsm	troublesome
trbus	troublous
trausrs	trousers
truso	trousseau
traut	trout
traul	trowel
trunt	truant
trunse	truancy
truk	truck
trukj	truckage
	
# Page 238 Column 2	
trukman	truckman
trukl	truckle
truklent	truculent
truklens	truculence
trj	trudge
tru	true
trunes	trueness
trur	truer
trust	truest
trusm	truism
true	truly
tr	truth
n-tru	untrue
trmpt	trumpet
trmpte~	trumpeter
trnkat	truncate
trnchn	truncheon
trndl	trundle
trnk	trunk
trs	trust
dstrs	distrust
ntrs	entrust
mstrs	mistrust
trse	trustee
trse^sh	trusteeship
	
# Page 238 Column 3	
trsf	trustful
n-trsthe	untrustworthy
tr	truth
trf	truthful
n-trf	untruthful
tri	try
tril	trial
n-trid	untried
trest	tryst
sar	tsar
tub	tub
teuba	tuba
teub	tube
teublr	tubular
teubr	tuber
tbr^k	tubercle
tberklr	tubercular
tberklen	tuberculin
tberkloss	tuberculosis
tberklus	tuberculous
teubros	tuberose
teush	tuition
nteush	intuition
t-mb	tumble
tume~	tumor
	
# Page 239 Column 1	
tmul	tumult
tmuluus	tumultuous
tun	tune
tund	tuned
tunf	tuneful
tunl	tuneless
tune~	tuner
t-ngstn	tungsten
tunek	tunic
t-nl	tunnel
trbn	turban
trbd	turbid
terbdte	turbidity
terbde	turbidly
terblent	turbulent
terblens	turbulence
turen	tureen
terjd	turgid
terjdte	turgidity
terke	turkey
temrk	turmeric
temoe	turmoil
ten	turn
tenbukl	turnbuckle
	
# Page 239 Column 2	
ten-kot	turncoat
ten^t	turned
tenau	turnout
tenpik	turnpike
tenep	turnip
terpntin	turpentine
terptu	turpitude
trkoes	turquoise
teret	turret
te~tl	turtle
tutlj	tutelage
tute~	tutor
to_dl	twaddle
te_zers	tweezers
ti_li	twilight
te_n	twin
ti_n	twine
te_nkl	twinkle
te_rl	twirl
te_st	twist
tu	two
tufast	two-faced
tufold	twofold
tu'ndd	two-handed
	
# Page 239 Column 3	
tu^pli	two-ply
tusm	twosome
tustep	two-step
tip	type
tipsete~	typesetter
tpri	typewriter
tpretn	typewritten
tipes	typist
tip^or	typographer
tip^oe	typography
tipthete	typothetae
tifus	typhus
tifoe	typhoid
tepf	typify
tep^k	typical
tep^f	typification
tirant	tyrant
tiran^k	tyrannical
tiransi	tyrannicide
teraniz	tyrannize
teranus	tyrannous
terane	tyranny
tiro	tyro
sar	tzar
