# Page 77 Column 1
fa~b	fable
# Page 78 Column 3
feth)	feather
!	featherweight
fetr	feature
ds(fetr	disfeature
!	febrile
fed	federal
kfedra	confederate
!	federacy
fedes	federalist
!	federalize
fedra	federate
fedrash	federation
feb	feeble
nfeb	enfeeble
febn	feebleness
feles(ta	felicitate
felestus	felicitous
fel^s)	felicity
felin	feline
feln	felon
felonus	felonious
felne	felony
fema~	female
femnen	feminine
femn^nt	femininity

# Page 79 Column 1
femur	femur
fentr	fender
fe~mnt	ferment
!	fermentable
fe~mnsh	fermentation
!	unfermented
ferosh	ferocious
fer^s	ferocity
!	ferric
!	ferrous
ferl	ferrule
fe~tl	fertile
!	fertility
fe~tlezsh	fertilization
fe~tliz	fertilize
!	fertilizer
fevr	fervor
efeves	effervesce
fevnse	fervency
fevnt	fervent
feved	fervid
festl	festal
fes(dfl	festival
festv	festive
fest^v	festivity

# Page 79 Column 2
festun	festoon
fetsh	fetish
fevr	fever
fevresh	feverish
fa&'sko	fiasco
fa&et	fiat
fibr	fiber
fibrus	fibrous
fekl	fickle
feksh	fiction
!	fictional
fektesh	fictitious
fed^l	fidelity
nfedl	infidel
prfede	perfidy
fedshre	fiduciary
feld	field
fent	fiend
fentsh	fiendish
fegr	figure
dsfegr	disfigure
fegradf	figurative
!	figurehead
t^fgr	transfigure
felam	filament

# Page 79 Column 3
felte~	filter
felte~d	filtered
!	filtration
felth	filth
finl	final
finles	finalist
fin^l	finality
fine|	finally
fenans	finance
fenan	financial
fenanser	financier
fi	find
fi^r	finder
fis	finds
fin	fine
fint	fined
finnes	fineness
!	finery
rfine~e	refinery
fe~nge~	finger
fe~nge~l	fingerling
fines	finis
fensh	finish
nfensht	unfinished
fini	finite

# Page 80 Column 1
nfenet	infinite
nfenetes	infinitesimal
nfenetv	infinitive
nf^nt	infinity
fir	fire
fire	fiery
firam	firearm
!	firebrand
!	firefly
firmn	fireman
!	fire plug
!	fireproof
!	fireside
fem	firm
fem-n	firmness
femam	firmament
fes	first
feskl	fiscal
fesh	fish
!	fisherman
feshe~e	fishery
!	fishhook
!	fishy
feshu	fissure
fest	fist

# Page 80 Column 2
fet	fit
fetf	fitful
fete	fitly
!	fitness
fex	fix
afes	affix
!	fixation
fextv	fixative
fex-s	fixes
!	fixity
fextr	fixture
prefes	prefix
sufes	suffix
t^fex	transfix
flaks(ed	flaccid
flajla	flagellate
flag	flagrant
flag	flagrance
flagse	flagrancy
flam	flame
!	flamboyant
nflamsh	inflammation
!	flamingo
flanj	flange
flank	flank

# Page 80 Column 3
flanl	flannel
flash	flash
!	flashily
!	flashy
flask	flask
flatirn	flatiron
flate~	flatter
!	flattered
!	flatterer
!	flatters
flate~e	flattery
flont	flaunt
flavr	flavor
!	flavorous
flaxn	flaxen
flet	fleet
flex	flex
flex^b	flexibility
flexb	flexible
flex^or	flexor
flexr	flexure
nflexb	inflexible
flekr	flicker
fli	flight
!	flighty

# Page 81 Column 1
flench	flinch
fleng	fling
flent	flint
flejnt	flippant
fle~tsh	flirtation
flot	float
flotash	flotation
flots(m	flotsam
flns	flounce
flndr	flounder
flr	flour
flrsh	flourish
flr	flower
flres	florist
fluk	fluctuate
!	fluctuated
fluktsh	fluctuation
flunt	fluent
flunse	fluency
flud	fluid
flutde	fluidity
!	fluidrachm
flum	flume
flren	fluorine
!	fluorescent

# Page 81 Column 2
flsh	flush
flut	flute
flute~	flutter
!	fluttered
!	fluttery
fli	fly
fli	flight
!	flyer
fla&e_l	flywheel
fkus	focus
!	foci
!	focuses
fode~	fodder
!	foghorn
foeb	foible
foel	foil
foest	foist
fold	fold
foleo	folio
folj	foliage
!	foliation
potfoleo	portfolio
fok	folk
fo	follow
for	follower

# Page 81 Column 3
fos	follows
fomn-tsh	fomentation
font	fond
!	fondest
fond-n	fondness
fontnt	fondant
fontl	fondle
ful	fool
!	foolhardy
fulsh	foolish
!	foolscap
fut	foot
futbol	football
!	footboard
!	footbridge
!	footgear
!	foothill
!	foothold
futlis	footlights
!	footnote
!	footpath
!	footprint
!	footsore
!	footstep
!	footstool

# Page 82 Column 1
f	for
forj	forage
fs(mch	forasmuch
fora	foray
fbar	forbear
fbarns	forbearance
!	forbore
fbd	forbid
fbtn	forbidden
fs(	force
enfs(	enforce
fs(t	forced
fs(f	forceful
fss)	forces
!	reenforce
fs(eps(	forceps
fsb	forcible
f^a~m	forearm
fbar	forebear
!	foreboding
fkas	forecast
!	forecaster
fchasl	forecastle
fkls	foreclose
fklshu	foreclosure

# Page 82 Column 2
ffe~nge~	forefinger
fgn	foregone
fgrnt	foreground
fn	foreign
fne~	foreigner
fnol	foreknowledge
fmo	foremost
fna	forename
fnun	forenoon
f^odan	foreordain
frne~	forerunner
fores	forest
forestre	forestry
fte~	foretell
fto	foretold
fthot	forethought
f^umn	forewoman
ffet	forfeit
ffetr	forfeiture
!	forgather
fj	forge
fjd	forged
fje~	forger
fjre	forgery
fget	forget

# Page 82 Column 3
fgetf	forgetful
!	forgettable
fgt	forgot
!	unforgettable
fge	forgive
fga	forgave
fgeb	forgivable
fge	forgiven
nfgeb	unforgivable
!	unforgiven
!	forgo
fork	fork
flon	forlorn
fm	form
kfm	conform
dfm	deform
fm^l	formal
fmlte	formality
fme|	formally
fmat	format
fmsh	formation
fmadf	formative
fme~e~	formerly
nfml	informal
eunfm	uniform

# Page 83 Column 1
fmal	formaldehyde
fmedb	formidable
fmula	formula
fm^u	formulate
fsak	forsake
fsuth	forsooth
fs(uar	forswear
fkm'	forthcoming
!	forthright
ftheth	forthwith
fdf	fortify
ft^f	fortification
ftres	fortress
!	unfortified
ftet	fortitude
ft-ni	fortnight
ftutus	fortuitous
ftn	fortune
ftnat	fortunate
ms(ftn	misfortune
nftnat	unfortunate
fd	forward
fdr	forwarder
fosel	fossil
foste~	foster

# Page 83 Column 2
faul	foul
fula~d	foulard
fnd	found
fntsh	foundation
fntd	founded
fndr	founder
fndre	foundry
fnt	fount
fntn	fountain
!	foursome
faul	fowl
fox	fox
frakas	fracas
frakshl	fractional
fraktr	fracture
frajl	fragile
fraj^l	fragility
fragm	fragment
fragmre	fragmentary
fr^l	frailty
franch	franchise
ds(franch	disfranchise
nfranch	enfranchise
frant	frantic
fren^a	frenetic

# Page 83 Column 3
fratnte	fraternity
fratnl	fraternal
!	fraternally
!	fraternize
frod	fraud
!	defrauded
frodlent	fraudulent
fre	free
fred	freed
fretm	freedom
free	freely
!	freeness
fra	freight
fra^r	freighter
frek	frequent
frek	frequency
freke	frequently
fresh	fresh
freshn	freshen
!	freshly
freshman	freshman
!	freshness
fretrk	fretwork
!	friable
fr	friend

# Page 84 Column 1
frl	friendless
fr	friendly
fr^sh	friendship
!	unfriendly
fregat	frigate
fri	fright
frin	frighten
frint	frightened
fritf	frightful
frejd	frigid
frejdte	frigidity
!	frigidly
rfrej^r	refrigerator
frenj	fringe
frev^l	frivolity
frev	frivolous
frok	frock
frlek	frolic
frnt	front
frntj	frontage
!	frontal
!	fronted
frnter	frontier
frntespes	frontispiece
fros(t	frost

# Page 84 Column 2
!	frosted
froste	frosty
froth	froth
fro^d	froward
frn	frown
frnt	frowned
frug	frugal
frut	fruit
frutf	fruitful
fruesh	fruition
frutl	fruitless
frustra	frustrate
frustrash	frustration
feusha&'	fuchsia
fj	fudge
feul	fuel
feujtv	fugitive
feugash	fugacious
rfeuj	refuge
fukrm	fulcrum
fuf	fulfill
fufm	fulfillment
nfufd	unfulfilled
fu	full
!	fullness

# Page 84 Column 3
fu	fully
!	fulminate
!	fulmination
fus(m	fulsome
feum	fume
feumeg	fumigate
feumegsh	fumigation
prfeum	perfume
fnk	function
fnk^l	functional
fnt^m	fundamental
feunerl	funereal
fngus	fungus
fnji	fungi
fnl	funnel
fur	fur
flo	furlough
fnas	furnace
fnsh	furnish
fneshe~	furnisher
!	furnishings
fnetr	furniture
nfnesht	unfurnished
feurr	furor
fth)	further

# Page 85 Column 1
fth)ns	furtherance
tth)m	furthermore
fth)es	furthest
fdf	furtive
feure	fury
feurus	furious

# Page 85 Column 2
feus	fuse
feu^b	fusibility
!	fusible
feush	fusion
nfeu	infuse
t^feu	transfuse

# Page 85 Column 3
!	fuselage
feutl	futile
feut^l	futility
ft	future
ft^s(t	futurist
ft^r	futurity

