# Page 226 Column 1
!	tabard
!	tabasco
tabe~n	tabernacle
tmnat	terminate
temnash	termination
!	terminology
temnus	terminus
teras	terrace

# Page 229 Column 3
!	terra cotta
!	terrain
!	terrapin
terestrl	terrestrial
terf	terrify
terb	terrible
terefk	terrific
!	terrifically
tet	territory
tetl	territorial
tet^l	territoriality
!	territorialize
tetle	territorially
terr	terror
!	terrorism
terres	terrorist
!	terroristic
!	terrorization
terriz	terrorize
!	terrorizer
ters	terse
!	terseness
!	terser
!	tersest
tershre	tertiary

# Page 230 Column 1
!	tessellate
!	tessellation
test	test
tesd	tested
tesr	tester
tes-s	tests
!	untested
testam	testament
testamre	testamentary
!	testate
testatr	testator
tesdf	testify
tes(tm	testimonial
tes(tme	testimony
tetnus	tetanus
teth	tether
!	tetragon
!	tetragonal
!	tetralogy
tutnek	Teutonic
tx	text
txbk	textbook
txl	textual
txle	textually
textl	textile

# Page 230 Column 2
textr	texture
!	than
!	thane
th'	thank
!	thanked
th^f	thankful
th^l	thankless
th^s(	thanks
th^s(ge'	thanksgiving
tha	that
thach	thatch
tho	thaw
thete~	theater
!	theatric
thetr^k	theatrical
!	theatricals
!	thee
!	theirs
!	theism
athes(m	atheism
panthesm	pantheism
thm	them
thmss	themselves
thn	then
thens	thence

# Page 230 Column 3
thensfth	thenceforth
thensfd	thenceforward
thekrse	theocracy
!	theodolite
'e^o	theology
'e^on	theologian
there	theory
therem	theorem
ther^a	theoretic
theres	theorist
theriz	theorize
!	theorizer
thosfe	theosophy
!	theosophic
!	theosophical
thosfes	theosophist
therpe	therapy
therp^a	therapeutic
!	therapeutical
th)	there
!	thereabout
th)af	thereafter
th)t	thereat
th)b	thereby
th)f	therefore

# Page 231 Column 1
!	therefrom
th)n	therein
!	thereinto
th)o	thereof
th)on	thereon
th)tu	thereto
!	theretofore
th)pn	thereupon
th)eth	therewith
!	therm
th)eml	thermal
!	thermion
!	thermite
th)e~mnete~	thermometer
!	thermometric
!	thermometrical
th)emostat	thermostat
'esrus	thesaurus
thes	these
'ess	thesis
'eses	theses
!	thew
the	they
thek	thick
thekn	thicken

# Page 231 Column 2
!	thickener
!	thicker
theket	thicket
!	thickly
theknes	thickness
thef	thief
theft	theft
thevre	thievery
thevesh	thievish
thi	thigh
themb	thimble
then	thin
!	thinner
thenn	thinness
!	thinnest
th'	thing
ne'	anything
ev'	everything
n'	nothing
!	plaything
s(m'	something
th^s(	things
th'	think
th^b	thinkable
th'r	thinker

# Page 231 Column 3
th^s	thinks
nth^b	unthinkable
thers	thirst
therste|	thirstily
!	thirstiness
!	thirsty
ths	this
thesl	thistle
theth	thither
!	thole
thong	thong
!	thoracic
!	thorium
thon	thorn
'e	thorough
th)e^b	thoroughbred
th)e^f	thoroughfare
th)e	thoroughly
th)en	thoroughness
ths(	those
thau	thou
tho	though
thot	thought
thotf	thoughtful
thotl	thoughtless

# Page 232 Column 1
thau	thousand
!	thousandfold
thaus	thousands
thau^th	thousandth
throl	thrall
thrash	thrash
thred	thread
!	threadbare
!	threadworm
thret	threat
thretn	threaten
!	threatened
th)e	three
!	threnody
thrshold	threshold
!	threw
thris	thrice
threft	thrift
spndthref	spendthrift
!	thriftily
threften	thriftiness
!	thriftless
!	thrifty
threl	thrill
thri	thrive

# Page 232 Column 2
thrid	thrived
!	throve
throt	throat
!	throatiness
throb	throb
thron	throne
dthron	dethrone
!	enthroned
throng	throng
throtl	throttle
thru	through
thraut	throughout
thro	throw
!	threw
thron	thrown
thrsh	thrush
thrust	thrust
thud	thud
thug	thug
th)m	thumb
th)mp	thump
th)ndr	thunder
th)ndrbolt	thunderbolt
!	thunderous
!	thundershower

# Page 232 Column 3
thus	thus
tho_t	thwart
!	thy
thin	thine
this	thyself
tim	thyme
thiroe	thyroid
ta&era	tiara
!	Tibetan
tid	tide
tido_te~	tidewater
tide	tidy
!	tidier
!	tidiest
!	tidiness
!	untidy
tigr	tiger
tit	tight
a~tit	air-tight
titn	tighten
!	tightened
!	tighter
!	tightest
!	tiled
te	till

# Page 233 Column 1
nte	until
!	tilt
!	tilted
tmbr	timber
tm	time
tmone~^t	time-honored
tmkp^r	timekeeper
tml	timeless
tme	timely
tmpes	timepiece
tmr	timer
tm-tb	time-table
tmed	timid
ntmetd	intimidate
tmetde	timidity
!	timidly
tmrus	timorous
ten	tin
!	tinware
tenktr	tincture
tndr	tinder
tnj	tinge
tengl	tingle
tenke~	tinker
tenkl	tinkle

# Page 233 Column 2
tnsel	tinsel
tn-t	tint
!	tinted
tine	tiny
!	tinier
!	tiniest
tira	tirade
ti~	tire
ti~d	tired
!	tireless
tirsm	tiresome
teshu	tissue
!	titanium
tith	tithe
!	titillate
!	titivate
tit	title
!	title-page
tetlr	titular
tet-maus	titmouse
!	titrate
!	titration
tod	toad
!	toadstool
!	toast

# Page 233 Column 3
!	toasted
tosmas	toastmaster
tbak	tobacco
tobgn	toboggan
!	toccata
toksen	tocsin
tda	today
toga	toga
tug	together
toel	toil
!	toilful
!	toilsome
tokn	token
!	told
n-to	untold
tolra	tolerate
tolrb	tolerable
tolrns	tolerance
tolrant	tolerant
tolrash	toleration
tom'ok	tomahawk
tmato	tomato
!	tomb
tumston	tombstone
tmo	tomorrow

# Page 234 Column 1
t-n	ton
t-nj	tonnage
ton	tone
mnoton	monotone
!	tonal
!	tonality
tng	tongue
tni	tonight
tnsel	tonsil
tnsel^ts	tonsillitis
tnshu	tonsure
tns(orl	tonsorial
tontn	tontine
tul	tool
tuth	tooth
teth	teeth
tuthak	toothache
!	toothed
!	toothless
tuthpek	toothpick
tuth)-sm	toothsome
top	top
topaz	topaz
tpk	topic
tp^k	topical

# Page 234 Column 2
top^oe	topography
torch	torch
tomnt	torment
tomnt-d	tormented
tomn-tr	tormentor
tonado	tornado
topdo	torpedo
torpr	torpor
topd	torpid
!	torque
torent	torrent
trensh	torrential
!	torrentially
tored	torrid
!	torridity
!	torsion
torso	torso
tot	tort
totus	tortoise
totuus	tortuous
!	tortuosity
totr	torture
tot	total
tot^l	totality
totezsh	totalization

# Page 234 Column 3
!	totalizer
tota|	totally
totm	totem
tote~	totter
tch	touch
tchb	touchable
!	touchdown
!	touchily
!	touchiness
!	touchstone
n-tchd	untouched
tuf	tough
tufn	toughen
!	toughened
!	tougher
tur	tour
tures	tourist
!	tourmaline
tunam	tournament
teneket	tourniquet
!	tousle
tod	toward
taul	towel
taur	tower
t-n	town

# Page 235 Column 1
t-n^sh	township
toxk	toxic
!	toxicity
!	toxicology
tras	trace
!	retrace
trasb	traceable
trasd	traced
traser	tracer
!	tracery
traka&'	trachea
trakoma	trachoma
trak	track
!	trackage
!	trackless
!	trackman
trakt	tract
trktb	tractable
traksh	traction
!	tractive
trakr	tractor
tra	trade
trad	traded
!	trade-mark
!	trader

# Page 235 Column 2
tradsmn	tradesman
tradsh	tradition
tradshl	traditional
tradshle	traditionally
tradus	traduce
traf	traffic
trajde	tragedy
trajdn	tragedian
trajk	tragic
!	tragical
tran	train
trant	trained
trane~	trainer
!	trainman
tratr	traitor
tratrus	traitorous
!	traitress
trajktre	trajectory
traml	trammel
!	trammeled
tramp	tramp
trampl	trample
trama_	tramway
trans	trance
trank	tranquil

# Page 235 Column 3
trankezsh	tranquilization
!	tranquilize
!	tranquillity
!	tranquilly
t^ak	transact
t^aksh	transaction
t^atl	transatlantic
t^nt	transcend
t^ntns	transcendence
t^ntnt	transcendent
t^ntntl	transcendental
t^s(kr^	transcribe
t^s(kr^	transcript
t^krsh	transcription
t^ep	transept
t^fer	transfer
t^ferb	transferable
!	transference
nt^ferb	untransferable
t^fgr	transfigure
!	transfiguration
t^fex	transfix
t^fm^	transform
t^fmsh^	transformation
t^fmr^	transformer

# Page 236 Column 1
t^feu	transfuse
t^feush	transfusion
tgres	transgress
t^gresh	transgression
t^gresr	transgressor
t^st	transient
!	transience
t^t	transit
t^sh	transition
t^shl	transitional
t^she	transitionally
t^df	transitive
t^tre	transitory
t^la	translate
!	translatable
t^lash	translation
t^lar	translator
nt^lat	untranslatable
t^let	transliterate
oblet	obliterate
!	translucence
t^lusnt	translucent
t^met^	transmit
t^mes^b	transmissibility
t^mesb	transmissible

# Page 236 Column 2
t^mesh^	transmission
!	transmittal
!	transmitter
!	transmogrify
t^mut	transmute
!	transmutability
!	transmutable
t^mutsh	transmutation
t^m	transom
t^parense	transparency
t^parntse	transparent
t^pi	transpire
!	transpiration
t^plant	transplant
!	transplantation
!	transplanted
t^pot	transport
!	transportable
t^potsh	transportation
t^pot-d	transported
t^po	transpose
!	transposes
t^posh	transposition
!	transship
t^s-stn	transubstantiate

# Page 236 Column 3
t^s-stnsh	transubstantiation
t^ves	transverse
t^vesl	transversal
trapez	trapeze
trom	trauma
trom^a	traumatic
traval	travail
trav	travel
trav^r	traveler
traves	traverse
traveste	travesty
trechre	treachery
trechus	treacherous
tr^k	treacle
!	tread
!	trod
!	trodden
tredl	treadle
tresn	treason
tresnb	treasonable
treshu	treasure
treshud	treasured
treshu^r	treasurer
treshus	treasures
tresh	treasury

# Page 237 Column 1
tret	treat
tretes	treatise
trem	treatment
tre	treaty
treb	treble
tremb	tremble
tremns	tremendous
!	tremolo
tremr	tremor
tremlus	tremulous
!	trench
!	trenchancy
trenchant	trenchant
!	trencher
!	trepan
trefin	trephine
trepdsh	trepidation
n^pd	intrepid
trespas	trespass
!	trespasser
tresl	trestle
tra&ed	triad
tril	trial
tra&eng	triangle
tra&engu	triangular

# Page 237 Column 2
!	triangulate
trib	tribe
tribl	tribal
!	tribesman
treb^ush	tribulation
!	tribune
tribnl	tribunal
trebt	tribute
treb^re	tributary
trek	trick
trekre	trickery
!	trickily
treken	trickiness
!	trickster
trekl	trickle
!	trickled
tris^k	tricycle
tridn-t	trident
tra&enl	triennial
trif	trifle
triflr	trifler
tregr	trigger
tregnom	trigonometry
tregnomet	trigonometric
treln	trillion

# Page 237 Column 3
trelem	trillium
trelje	trilogy
trem	trim
!	trimly
tremt	trimmed
treme~	trimmer
trem-n	trimness
tr^nt	trinity
trenket	trinket
treo	trio
!	triphthong
trepl	triple
treplet	triplet
!	triplex
treplek	triplicate
trepleksh	triplication
!	triply
!	triptych
trisek	trisect
trit	trite
!	triturate
!	trituration
trimf	triumph
trimfl	triumphal
trimfnt	triumphant

# Page 238 Column 1
!	triumvirate
!	triune
trev	trivial
trev^l	triviality
!	trivially
troke	troche
trole	trolley
trombon	trombone
trup	troop
trupr	trooper
trpk	tropic
trp^k	tropical
troth	troth
trbdur	troubadour
trb	trouble
trbsm	troublesome
trbus	troublous
trausrs	trousers
truso	trousseau
traut	trout
traul	trowel
trunt	truant
trunse	truancy
truk	truck
!	truckage

# Page 238 Column 2
!	truckman
!	truckle
!	truculent
trukeu	truculence
trj	trudge
tru	true
trun	trueness
trur	truer
!	truest
!	truism
true	truly
tr	truth
n-tru	untrue
trmpt	trumpet
trmpte~	trumpeter
trngat	truncate
trnch	truncheon
trndl	trundle
trnk	trunk
trs	trust
ds(trs	distrust
ntrs	entrust
ms(trs	mistrust
trse	trustee
trse^sh	trusteeship

# Page 238 Column 3
trsf	trustful
n-trsthe	untrustworthy
tr	truth
trf	truthful
!	untruthful
tri	try
tril	trial
n-trid	untried
trest	tryst
!	tsar
tub	tub
!	tuba
teub	tube
!	tubular
!	tuber
!	tubercle
tbrkeu	tubercular
tbrkeulen	tuberculin
tubrkss	tuberculosis
!	tuberculous
!	tuberose
teush	tuition
nteush	intuition
t-mb	tumble
tumr	tumor

# Page 239 Column 1
tmul	tumult
tumulus	tumultuous
tun	tune
!	tuned
tunf	tuneful
tunl	tuneless
!	tuner
t-ngs(tn	tungsten
tunek	tunic
t-nl	tunnel
trbn	turban
trbd	turbid
!	turbidity
!	turbidly
trblent	turbulent
trblens	turbulence
turen	tureen
!	turgid
!	turgidity
terke	turkey
!	turmeric
temoe	turmoil
ten	turn
!	turnbuckle

# Page 239 Column 2
ten-kot	turncoat
ten^t	turned
tenau	turnout
tenpik	turnpike
tenep	turnip
trpntin	turpentine
!	turpitude
trkoe	turquoise
teret	turret
te~tl	turtle
tutlj	tutelage
tutr	tutor
to_dl	twaddle
te_zers	tweezers
ti_li	twilight
te_n	twin
ti_n	twine
te_nkl	twinkle
te_rl	twirl
te_st	twist
tu	two
!	two-faced
tufold	twofold
!	two-handed

# Page 239 Column 3
!	two-ply
!	twosome
!	two-step
tip	type
tipsete~	typesetter
tpri	typewriter
tpretn	typewritten
tipes	typist
!	typographer
tip^oe	typography
!	typothetae
tifus	typhus
tifoe	typhoid
tapf	typify
tep^k	typical
!	typification
tirant	tyrant
tiran^k	tyrannical
tiransi	tyrannicide
teraniz	tyrannize
!	tyrannous
terane	tyranny
tiro	tyro
!	tzar

