# Page 49 Column 1	
daksu'nd	dachshund
dfn-nes	definiteness
dfnsh	definition
dfnetv	definitive
n-dfinb	indefinable
n-dfne	indefinitely
dfla	deflate
dflash	deflation
dfm	deform
	
# Page 52 Column 1	
dfm^t	deformed
d-f^mt	deformity
dfrod	defraud
dfrodd	defrauded
dfra	defray
dfral	defrayal
deft	deft
dfnk	defunct
dfi	defy
dfins	defiance
dfint	defiant
dfid	defied
djenra	degenerate
djenrse	degeneracy
djenrsh	degeneration
degra	degrade
degradsh	degradation
degra^t	degraded
deg	degree
didra	dehydrate
def	deify
de^f	deification
defs	deifies
desm	deism
des)t	deist
	
# Page 52 Column 2	
dete	deity
djk	deject
djkte	dejectedly
djksh	dejection
dla	delay
delektb	delectable
dlektsh	delectation
del	delegate
delsh	delegation
dlet	delete
dlesh	deletion
dleter	deleterious
dleb	deliberate
dlebe	deliberately
dlebsh	deliberation
dleb^v	deliberative
delek	delicate
delekse	delicacy
delekesn	delicatessen
ndelek	indelicate
dlesh	delicious
dli	delight
dli^t	delighted
dlif	delightful
dlena&'t	delineate
	
# Page 52 Column 3	
dlena&'sh	delineation
dlena&'te~	delineator
dlenk	delinquent
dlenkse	delinquency
dlerm	delirium
dlerus	delirious
dl	deliver
dlb	deliverable
dlns	deliverance
dlr	deliverer
dl	delivery
n-dlb	undeliverable
dlud	delude
dludd	deluded
dlsh	delusion
dlusv	delusive
delj	deluge
dmag	demagogue
dman	demand
dmrkash	demarcation
dmene~	demeanor
demn^t	demented
demnsha&'	dementia
dme~t	demerit
dmis	demise
	
# Page 53 Column 1	
dmobliz	demobilize
dmoblezash	demobilization
dmoblizd	demobilized
dmk	democrat
dmkse	democracy
dmk	democratic
dmke	democratically
dmolsh	demolish
dmolesh	demolition
demn	demon
demnetiz	demonetize
demnetezash	demonetization
dmons	demonstrate
dmonsb	demonstrable
dmons^v	demonstrative
dmons^r	demonstrator
dmorliz	demoralize
dmorlezash	demoralization
dmorlizd	demoralized
dmur	demur
dmurr	demurrer
dmurj	demurrage
dmeur	demure
dnatr	denature
dnem	denim
	
# Page 53 Column 2	
dnezen	denizen
dnomnat	denominate
dnomnatd	denominated
dnomnsh	denomination
dnomnate~	denominator
dnot	denote
dn-ns	denounce
dn-nsm	denouncement
dn-nser	denouncer
dnunsa&'sh	denunciation
dnunsa&'tre	denunciatory
dns	dense
dn^s	density
dntl	dental
dntes	dentist
dntesre	dentistry
dni	deny
dnil	denial
dnid	denied
dnir	denier
dnis	denies
n-dnib	undeniable
doderiz	deodorize
dpt	depart
apt-m	apartment
	
# Page 53 Column 3	
kpt-m	compartment
dpt-m	department
dpt^m	departmental
dptr	departure
dpnd	depend
dpndb	dependable
dpndd	depended
dpndns	dependence
dpndnt	dependent
ndp	independence
ndp	independent
dpk	depict
dpkt	depicted
dplet	deplete
dpletd	depleted
dplesh	depletion
dplr	deplore
dplr^b	deplorability
dplrb	deplorable
dpon	deponent
dpop^u	depopulate
dpot	deport
dpotsh	deportation
dpotd	deported
dpot-m	deportment
	
# Page 54 Column 1	
dpo	depose
dpos	deposes
dpos	deposit
dpos^re	depositary
dposh	deposition
dpos^r	depositor
dpos^re	depository
dpo	depot
dprav	deprave
dpravash	depravation
dprvte	depravity
dprek	deprecate
dpreksh	deprecation
dprek^re	deprecatory
dpresha&'t	depreciate
dpresha&'sh	depreciation
dpredsh	depredation
dpres	depress
dpresnt	depressant
dpresh	depression
dpresv	depressive
dpri	deprive
dprevash	deprivation
privash	privation
depth	depth
	
# Page 54 Column 2	
dpu	depute
dpush	deputation
dputiz	deputize
dpute	deputy
dranj	derange
dranjm	derangement
derlek	derelict
derleksh	dereliction
dri	deride
deresh	derision
drisv	derisive
dri	derive
drevash	derivation
drev	derivative
drogsh	derogation
drogv	derogative
derog^re	derogatory
derek	derrick
d-sen	descend
asen	ascend
dsen-tn	descendant
dsent	descent
dskr	describe
dskrb	describable
dskrsh	description
	
# Page 54 Column 3	
dskrv	descriptive
dskra	desecrate
dskrash	desecration
dse~t	desert
dse~td	deserted
dse~te~	deserter
dsesh	desertion
d-sev	deserve
d-sevde	deservedly
n-d-sevd	undeserved
d-sekat	desiccate
d-sekash	desiccation
d-sekate~	desiccator
d-sin	design
d-seg	designate
d-segsh	designation
d-sind	designed
d-sine~	designer
ds	desire
dsb	desirable
ds-s	desires
dsus	desirous
n-dsb	undesirable
dss	desist
dss^t	desisted
	
# Page 55 Column 1	
dsss	desists
dsola	desolate
dsolae	desolately
dsolash	desolation
dspar	despair
dspa~d	despaired
dspra	desperate
dsprae	desperately
dsprash	desperation
dspis	despise
dspkb	despicable
dspit	despite
dspnd	despond
dspndnse	despondency
dspndnt	despondent
dspot	despot
dsp^a	despotic
dspot-sm	despotism
dse~t	dessert
dstn	destine
dstnsh	destination
dstnd	destined
dstne	destiny
dstet	destitute
dstetsh	destitution
	
# Page 55 Column 2	
ds^oe	destroy
ds^oed	destroyed
ds^oer	destroyer
ds^ksh	destruction
ds^kv	destructive
dse_tu	desuetude
dsu^re	desultory
dsu^re|	desultorily
dtach	detach
dtacht	detached
dtachm	detachment
dtal	detail
dtald	detailed
detn	detain
detnd	detained
detnsh	detention
dtek	detect
dtekt	detected
dtekv	detective
dtekr	detector
d^	deter
d^nt	deterrent
d^ora	deteriorate
d^ora^t	deteriorated
d^orash	deterioration
	
# Page 55 Column 3	
e~mn	determine
e~mnsh	determination
e~mn^te	determinedly
ne~mnat	indeterminate
pre^e~mn^t	predetermined
ne~mn^t	undetermined
dtes	detest
dtesb	detestable
dtessh	detestation
dthron	dethrone
dthrond	dethroned
dtonat	detonate
dtonsh	detonation
dtur	detour
d^k	detract
d^ksh	detraction
d^kr	detractor
d^m	detriment
d^ml	detrimental
dvasta	devastate
dvastsh	devastation
dvl	develop
dvl^r	developer
dvlm	development
n-dvl^t	undeveloped
	
# Page 56 Column 1	
deva&'t	deviate
deva&'td	deviated
deva&'sh	deviation
devus	devious
dvis	device
dvisd	devised
dvl	devil
dvoe	devoid
dvol	devolve
dvt	devote
dvte	devotee
dvosh	devotion
dvoshl	devotional
dvaut	devout
dextrus	dexterous
ambdextrus	ambidextrous
dex^r	dexterity
dibtes	diabetes
dib^a	diabetic
dibol^k	diabolical
dikr^a|	diacritical
didm	diadem
dirss	diaeresis
dignos	diagnose
dignoss	diagnosis
	
# Page 56 Column 2	
dign^st	diagnostic
dignostsh	diagnostician
dig	diagonal
dige	diagonally
di^g	diagram
di^g^a	diagrammatic
dilek	dialect
dilekteks	dialectics
dilog	dialogue
dimete~	diameter
dimetrk	diametric
dimetr^ke	diametrically
dimn	diamond
dipasn	diapason
difnus	diaphanous
difram	diaphragm
ditrib	diatribe
dektfn	dictaphone
dekta	dictate
dektsh	dictation
dekta^r	dictator
dektra^rl	dictatorial
dekta^re|	dictatorially
deksh	diction
dekshre	dictionary
	
# Page 56 Column 3	
dekt^o	dictograph
dektm	dictum
dekta	dicta
dektms	dictums
ddaktek	didactic
da&et	diet
da&etre	dietary
da^et^as	dietetics
df	differ
df	difference
df	different
dfnsh	differential
dfnsha|	differentially
dfnsha&et	differentiate
dfnsha&'sh	differentiation
dfe	differently
n-df	indifferent
dfk	difficult
dfks	difficulties
dfk	difficulty
dfdn	diffident
dfdns	diffidence
dfraksh	diffraction
dfeu	diffuse
dfeus	diffuses
	
# Page 57 Column 1	
dfeub	diffusible
dfeush	diffusion
djes	digest
djesb	digestible
djesh	digestion
djesv	digestive
ndjesh	indigestion
n-djes^t	undigested
dejt	digit
dejtl	digital
dejtles	digitalis
degnf	dignify
degnetre	dignitary
deg^nt	dignity
nteg^nt	indignity
n-degnf^t	undignified
degres	digress
degresh	digression
degrev	digressive
dik	dike
delap	dilapidate
delapsh	dilapidation
dila	dilate
dilash	dilation
delatre	dilatory
	
# Page 57 Column 2	
delema	dilemma
delejnt	diligent
delej	diligence
delut	dilute
delutd	diluted
delsh	dilution
n-delutd	undiluted
dem	dim
deme	dimly
demd	dimmed
deme~	dimmer
dim-nes	dimness
n-demd	undimmed
dmensh	dimension
dmenshl	dimensional
dmensh	diminish
dmeneundo	diminuendo
dmeneush	diminution
dmeneu	diminutive
n-dmensht	undiminished
d^mt	dimity
dmpl	dimple
din	dine
dind	dined
dnr	dinner
	
# Page 57 Column 3	
dnje	dingy
dinsor	dinosaur
dnt	dint
dises	diocese
dfthera&'	diphtheria
dfther^a	diphtheritic
dfthong	diphthong
dfthongl	diphthongal
dploma	diploma
dplomat	diplomat
dplomse	diplomacy
dplom^a	diplomatic
dplomates	diplomatist
depsomna&'	dipsomania
depsolmna&'k	dipsomaniac
di~	dire
dirf	direful
da&e~	direly
drk	direct
drksh	direction
drknes	directness
drk^r	director
drk^ra	directorate
drk^re	directory
ntrk	indirect
	
# Page 58 Column 1	
n-drkt	undirected
derej	dirigible
dsab	disable
dsa^b	disability
dsabeu	disabuse
ds)av	disadvantage
ds)avus	disadvantageous
ds)afkt	disaffected
ds)afksh	disaffection
da|	disagree
da|b	disagreeable
da|^d	disagreed
da|m	disagreement
dsal	disallow
dsapr	disappear
dsaprns	disappearance
doe	disappoint
doem	disappointment
dsaprbash	disapprobation
dsaprv	disapprove
dsaprvl	disapproval
dsa~m	disarm
dsara	disarrange
dsa~tek^u	disarticulate
dsste~	disaster
	
# Page 58 Column 2	
dsstrus	disastrous
ds)avau	disavow
ds)avaul	disavowal
dsband	disband
dsbe	disbelieve
dsbe^r	disbeliever
dsbrsm	disbursement
dska~d	discard
dska~dd	discarded
dse~n	discern
dse~nb	discernible
dse~nm	discernment
dschj	discharge
dschjd	discharged
dsip	disciple
dseplenre	disciplinary
dseplen	discipline
dsklam	disclaim
dsklamd	disclaimed
dsklame~	disclaimer
dsklos	disclose
dsklosd	disclosed
dskloss	discloses
dskloshu	disclosure
n-dsklosd	undisclosed
	
# Page 58 Column 3	
dskul	discolor
dskulsh	discoloration
dskfetr	discomfiture
dskft	discomfort
dskpo	discompose
dskpos	discomposes
dskposhu	discomposure
dsks(e~t	disconcert
dsks(e~tde	disconcertedly
dsktnt	discontent
dsktntd	discontented
dsktnu	discontinue
dsktnuns	discontinuance
dsktnud	discontinued
dskod	discord
kkod	concord
dskodn	discordant
des	discount
dsktnans	discountenance
dskrj	discourage
dskrjd	discouraged
dskrjm	discouragement
n-krj	encourage
dskrs	discourse
dskrsv	discursive
	
# Page 59 Column 1	
dske~tus	discourteous
dskv	discover
dskv^r	discoverer
dskve	discovery
dskre^b	discreditable
dskret	discreet
dskresh	discretion
ndskret	indiscreet
dskrep	discrepancy
dskremnat	discriminate
dskremnatd	discriminated
dskremnsh	discrimination
dskremnatre	discriminatory
ndskremnat	indiscriminate
dsk	discuss
dsksh	discussion
dsdan	disdain
dsdand	disdained
dsdanf	disdainful
dsesd	diseased
dsmbark	disembark
dsmbarkash	disembarcation
dsnchant	disenchant
dsn-ga	disengage
dsn-gam	disengagement
	
# Page 59 Column 2	
dsntangl	disentangle
dsfa	disfavor
dsfetr	disfeature
dsfegr	disfigure
dsfranch	disfranchise
dsgras	disgrace
dsgrasf	disgraceful
dsgis	disguise
n-dsgisd	undisguised
dsgus	disgust
dsabel	dishabille
ds'a~tn	dishearten
dshev	dishevel
dsone~	dishonor
dsones	dishonest
dsonese	dishonestly
dsonese	dishonesty
dsonerb	dishonorable
dselsh	disillusion
dse^n	disincline
dse^nsh	disinclination
dse^nd	disinclined
dsnfek	disinfect
dsnfeknt	disinfectant
dsnjnuus	disingenuous
	
# Page 59 Column 3	
ds)en'e~t	disinherit
dsntegra	disintegrate
dsn^s^t	disinterested
dsjoen	disjoin
dsjnk	disjunction
dsjnk	disjunctive
dsla	dislike
dslok	dislocate
dsloj	dislodge
dsloe	disloyal
dsml	dismal
dsmntl	dismantle
dsma	dismay
n-dsmad	undismayed
dsmmbr	dismember
dsmes	dismiss
dsmesl	dismissal
dsmest	dismissed
dsmnt	dismount
dsoba	disobey
dsobdns	disobedience
dsobdnt	disobedient
dsobad	disobeyed
dsobl	disoblige
dsode	disorderly
	
# Page 60 Column 1	
dsog	disorganize
dsparj	disparage
dsparjm	disparagement
dspara	disparate
dsp^r	disparity
dspashat	dispassionate
dspach	dispatch
dspacht	dispatched
dspache~	dispatcher
dspl	dispel
dspld	dispelled
dspns	dispense
dspnsb	dispensable
dspnsare	dispensary
dspnsash	dispensation
dspnst	dispensed
dsprs	disperse
dsprsl	dispersal
dsprsh	dispersion
dsplasm	displacement
dspot	disport
dspo	dispose
dspol	disposal
dspos	disposes
dsposh	disposition
	
# Page 60 Column 2	
dsposs	dispossess
dspr	disproportion
dspr	disproportionate
dsprv	disprove
dsprf	disproof
dspu	dispute
dspush	disputation
dspushus	disputatious
dspus	disputes
n-dspu^t	undisputed
dskof	disqualify
dsko^f	disqualification
dskessh	disquisition
dsre	disregard
dsrpu	disrepute
dsrpub	disreputable
dsres	disrespect
dsrp	disrupt
dsrpsh	disruption
ds)at	dissatisfy
ds)atsh	dissatisfaction
d-sek	dissect
d-seksh	dissection
ds)em	dissemble
ds)emnat	disseminate
	
# Page 60 Column 3	
ds)emnsh	dissemination
d-sent	dissent
d-sensh	dissension
d-sentd	dissented
d-sentr	dissenter
dse~tsh	dissertation
ds)edns	dissidence
ds)emel	dissimilar
ds)emel^r	dissimilarity
ds)em^u	dissimulate
dsepa	dissipate
ds)osht	dissociate
dsolut	dissolute
dsolb	dissoluble
dsolsh	dissolution
ndsolb	indissoluble
dsonant	dissonant
dsonans	dissonance
dsa_d	dissuade
dsa_sh	dissuasion
prsa_d	persuade
suash	suasion
dstnt	distant
dstns	distance
dstast	distaste
	
# Page 61 Column 1	
dstastf	distasteful
dstnd	distend
dstnsb	distensible
dstnsh	distension
ds)tel	distill
ds)tela	distillate
ds)telash	distillation
ds)telre	distillery
dst	distinct
dstsh	distinction
dst^v	distinctive
dst	distinguish
dstb	distinguishable
ndst	indistinct
ndstb	indistinguishable
dstot	distort
dstotd	distorted
dstosh	distortion
ds^k	distract
ds^n	distrain
ds^t	distraught
ds^s	distress
ds^st	distressed
ds^b	distribute
ds^bsh	distribution
	
# Page 61 Column 2	
ds^b^v	distributive
ds^b^r	distributor
reds^b	redistribute
n-ds^b^t	undistributed
ds^k	district
reds^kt	redistricted
dstrs	distrust
dstrs^t	distrusted
dstrsf	distrustful
dstb	disturb
dstbns	disturbance
dstbd	disturbed
dstb^r	disturber
n-dstbd	undisturbed
dseu	disuse
dto	ditto
da&enl	diurnal
divg	divagate
divgsh	divagation
divan	divan
dvej	diverge
dvej	divergence
dvejnt	divergent
divrs	divers
dves	diverse
	
# Page 61 Column 3	
dves^f	diversification
dvesf	diversify
dversh	diversion
dveste	diversity
dve~t	divert
dves	divest
dvid	divide
dvidd	divided
dvdn	dividend
dvide~	divider
dvesb	divisible
dvesh	division
dvisr	divisor
n-dvesb	indivisible
n-dvidd	undivided
dvin	divine
dvensh	divination
dvind	divined
dv^nt	divinity
dvos	divorce
dvose	divorcee
dvlj	divulge
deze	dizzy
deze|	dizzily
dezenes	dizziness
	
# Page 62 Column 1	
dosel	docile
dos^l	docility
doket	docket
doka~d	dockyard
dr	doctor
dr^at	doctorate
dokt	doctrine
dokt^ar	doctrinaire
dokt^l	doctrinal
dokm	document
dokmre	documentary
doj	doge
dogma	dogma
dogm^a	dogmatic
dogmatiz	dogmatize
doldrms	doldrums
do	dollar
domn	domain
dm^st	domestic
dm^sta	domesticate
dm^sta^t	domesticated
dmes^s	domesticity
dmsel	domicile
domnat	dominate
domnans	dominance
	
# Page 62 Column 2	
domnant	dominant
domnsh	domination
domne~	domineer
domnun	dominion
predomnat	predominate
domno	domino
donat	donate
donatd	donated
donsh	donation
done~	donor
donke	donkey
dor	door
dora_	doorway
dora~d	dooryard
domnt	dormant
dome~	dormer
dometre	dormitory
domaus	dormouse
dub	double
dau	doubt
dau^t	doubted
dauf	doubtful
daul	doubtless
daus	doubts
n-dau^t	undoubted
	
# Page 62 Column 3	
daur	dower
dauje~	dowager
d-n	down
d-n-kast	downcast
d-nfo	downfall
d-nri	downright
d-n^d	downward
dox^o(	doxology
duzn	dozen
drf	draft
dragn	dragon
dragun	dragoon
dranj	drainage
drama	drama
dram^a	dramatic
dramates	dramatist
dramatezash	dramatization
dramatiz	dramatize
drapre	drapery
dr^st	drastic
dro	draw
drobak	drawback
drabrej	drawbridge
droe	drawee
dror	drawer
	
# Page 63 Column 1	
dron	drawn
dred	dread
dredd	dreaded
dred-f	dreadful
dred-not	dreadnaught
drem	dream
dremd	dreamed
dreme~	dreamer
dreme|	dreamily
dreft	drift
driva_	driveway
dromedre	dromedary
drup	droop
drp	drop
draut	drought
drn	drown
drnd	drowned
drj	drudge
drjre	drudgery
drug	drug
drges	druggist
drm	drum
drnk	drunk
drnka~d	drunkard
	
# Page 63 Column 2	
drnkn	drunken
drnknes	drunkenness
dri	dry
drir	drier
dri-st	driest
dra&e	dryly
drines	dryness
drishod	dry-shod
dul	dual
dubi	dubiety
dubus	dubious
ndbtb	indubitable
dches	duchess
duktl	ductile
dukt^l	ductility
dul	duel
due	duly
n-due	unduly
d-m	dumb
d-mp	dump
dnjn	dungeon
dplex	duplex
dup	duplicate
dupsh	duplication
	
# Page 63 Column 3	
dup^r	duplicator
dup^s	duplicity
drb	durable
dr^b	durability
dr	during
drash	duration
dust	dust
dte	duty
dtus	duteous
dteb	dutiable
dtes	duties
dte-f	dutiful
n-dte-f	undutiful
do_rf	dwarf
de_l	dwell
de_lt	dwelt
de_ndl	dwindle
de_ndld	dwindled
dinamek	dynamic
dinami	dynamite
dinamo	dynamo
dinaste	dynasty
dspepsa&'	dyspepsia
dspep	dyspeptic
