# Page 156 Column 1	
pablm	pabulum
npa~dnb	unpardonable
paregork	paregoric
parent	parent
parentj	parentage
parentl	parental
prenthess	parenthesis
parentheses	parentheses
parsh	parish
pareshe~	parishioner
prl	parliament
prl^ra&'n	parliamentarian
prl^re	parliamentary
nprl^re	unparliamentary
parlr	parlor
	
# Page 158 Column 1	
parokl	parochial
parode	parody
parol	parole
paroxs	paroxysm
paroxs^l	paroxysmal
parka	parquet
parsi	parricide
parsi^l	parricidal
parot	parrot
parsle	parsley
parsnep	parsnip
par-semne	parsimony
par-semnus	parsimonious
par-sn	parson
par-snj	parsonage
pt	part
apt	apart
apt-m	apartment
kpt-m	compartment
dpt-m	department
ptak	partake
pa~ta~	parterre
parsh	partial
parsh^l	partiality
parsha|	partially
	
# Page 158 Column 2	
ptesp	participate
ptespnt	participant
ptsep	participle
ptsepl	participial
pt^k	particle
pat	particular
pat^r	particularity
patiz	particularize
pate	particularly
ptesn	partisan
ptesn^sh	partisanship
ptsh	partition
pt-ne~	partner
pt-ne~^sh	partnership
ptrej	partridge
pte	party
paskl	paschal
pas	pass
mpasb	impassable
pasb	passable
pasj	passage
pasja_	passageway
past	passed
pas	past
pasje~	passenger
	
# Page 158 Column 3	
pash	passion
dspashat	dispassionate
mpashd	impassioned
pashat	passionate
pashl	passionless
pasv	passive
mpasv	impassive
pasvte	passivity
pas^o	passover
paspor	passport
pasud	password
past	paste
pastbod	pasteboard
pastl	pastel
pastn	pastern
pastm	pastime
paste~	pastor
pastrl	pastoral
pastra	pastorate
pastre	pastry
pastr	pasture
pastrj	pasturage
pach	patch
pachrk	patchwork
pache	patchy
	
# Page 159 Column 1	
patela	patella
patnt	patent
patntb	patentable
patntd	patented
patnte	patentee
patnl	paternal
patnl-sm	paternalism
patna|	paternally
patnte	paternity
path	path
path^fi^r	pathfinder
path(l	pathless
ptha_	pathway
pth^o(	pathology
pth(os	pathos
pth^a	pathetic
pasht	patient
mpasht	impatient
pashns	patience
pateo	patio
ptrark	patriarch
ptrarkl	patriarchal
ptrarkat	patriarchate
ptresh	patrician
ptremne	patrimony
	
# Page 159 Column 2	
ptremnl	patrimonial
ptrot	patriot
ptr^a	patriotic
ptrotsm	patriotism
ptrol	patrol
ptrolman	patrolman
ptrn	patron
ptrnj	patronage
ptrnes	patroness
ptrniz	patronize
ptrnemek	patronymic
patn	pattern
patnd	patterned
p^s	paucity
popr	pauper
poprsm	pauperism
poprezash	pauperization
popriz	pauperize
pos	pause
pav	pave
pavm	pavement
paveln	pavilion
pon	pawn
ponbrokr	pawnbroker
ponshop	pawnshop
	
# Page 159 Column 3	
pa	pay
pd	paid
pab	payable
pae	payee
paes	payees
pamas	paymaster
pam	payment
rpd	repaid
rpa	repay
npd	unpaid
pes	peace
pasf	pacify
pesb	peaceable
pesf	peaceful
pesmakr	peacemaker
pekk	peacock
penut	peanut
prl	pearl
pesant	peasant
pesantre	peasantry
peb	pebble
pebe	pebbly
pekan	pecan
peknt	peccant
pekdelo	peccadillo
	
# Page 160 Column 1	
peknse	peccancy
pekre	peccary
pek	peck
pektrl	pectoral
pek^u	peculate
pkeu	peculiar
pkeu^r	peculiarity
pkeue	peculiarly
pkeun	pecuniary
pdag	pedagogue
pdagojk	pedagogic
pdagoj^k	pedagogical
pdagoje	pedagogy
pdl	pedal
pednt	pedant
pdant	pedantic
pdant^k	pedantical
pedntre	pedantry
pdl	peddle
pdlr	peddler
pdestl	pedestal
pdestra&'n	pedestrian
pdestra&'n-sm	pedestrianism
pda&'trks	pediatrics
pdeklr	pedicular
	
# Page 160 Column 2	
pdeg	pedigree
pdem	pediment
pdomete~	pedometer
per	peer
perj	peerage
peres	peeress
perl	peerless
pevsh	peevish
peg	peg
pegass	Pegasus
pelekan	pelican
peles	pelisse
pelagra	pellagra
pele	pellet
pelused	pellucid
peltre	peltry
pelves	pelvis
pelvk	pelvic
pemekan	pemmican
pn	pen
pnoldr	penholder
pnif	penknife
pnans	penance
penl	penal
penlezash	penalization
	
# Page 160 Column 3	
penliz	penalize
pn^l	penalty
pen^o(	penology
pnchant	penchant
pnsel	pencil
pndnt	pendant
pndlus	pendulous
pndlm	pendulum
pntra	penetrate
pntr^b	penetrability
pntrb	penetrable
pntrant	penetrant
pntrash	penetration
pntra^v	penetrative
pn-ge_n	penguin
pnen-sula	peninsula
pnen-sulr	peninsular
pnetns	penitence
mpnetn	impenitent
pnetn	penitent
pnetnsh	penitential
pnetnshre	penitentiary
pnetne	penitently
pnant	pennant
pne	penny
	
# Page 161 Column 1	
pne-l	penniless
pnsh	pension
pnshre	pensionary
pnshe~	pensioner
pnsv	pensive
pnt	pent
pntagn	pentagon
pntamete~	pentameter
pntekos	Pentecost
pnt'us	penthouse
penut	penult
a^penut	antepenult
penutmat	penultimate
pnumbra	penumbra
pnure	penury
pnurus	penurious
peon	peon
peone	peony
pep	people
pepr	pepper
peprmnt	peppermint
pep-sen	pepsin
pravntr	peradventure
pramb^u	perambulate
prkal	percale
	
# Page 161 Column 2	
prse	perceive
mprsep	imperceptible
prsep	perceptible
prsepsh	perception
prseptv	perceptive
prseptl	perceptual
pr-sentj	percentage
prchans	perchance
prkola	percolate
prkolash	percolation
prkola^r	percolator
prkush	percussion
prkusv	percussive
pe~dsh	perdition
pregrensh	peregrination
premtre	peremptory
premtre|	peremptorily
premtrenes	peremptoriness
prenl	perennial
prf	perfect
mprf	imperfect
prf^b	perfectible
prfsh	perfection
prfe	perfectly
plprf	pluperfect
	
# Page 161 Column 3	
prfede	perfidy
prfedus	perfidious
prfra	perforate
prfras	perforates
prfrash	perforation
prfra^r	perforator
prfs	perforce
prfm	perform
prfmb	performable
prfmns	performance
prfme~	performer
prfeum	perfume
prfeume~	perfumer
prfeume~e	perfumery
prfnk	perfunctory
prfnke	perfunctorily
prfnknes	perfunctoriness
praps	perhaps
perl	peril
mperld	imperiled
perlus	perilous
premete~	perimeter
pe~d	period
pe~dek	periodic
pe~d^k	periodical
	
# Page 162 Column 1	
pe~d^s	periodicity
prept^a	peripatetic
prefre	periphery
prefr^st	periphrastic
preskp	periscope
persh	perish
mpershb	imperishable
pershb	perishable
perstil	peristyle
pe~tnom	peritoneum
pe~tni	peritonitis
pere_nkl	periwinkle
prju	perjure
prju^t	perjured
prju^r	perjurer
prjus	perjures
prju	perjury
prmn	permanent
prmns	permanence
prmne	permanently
prmang	permanganate
prma&'t	permeate
prm^b	permeability
prmb	permeable
prma&'sh	permeation
	
# Page 162 Column 2	
prmet	permit
prmes^b	permissibility
prmesb	permissible
prmsh	permission
prmutsh	permutation
prnesh	pernicious
prorash	peroration
proxid	peroxide
prpnd	perpendicular
prptra	perpetrate
prptras	perpetrates
prptrash	perpetration
prptra^r	perpetrator
prptl	perpetual
prptle	perpetually
prpteut	perpetuate
prpteutd	perpetuated
prpteush	perpetuation
prpteute~	perpetuator
prpteute	perpetuity
prplex	perplex
prplext	perplexed
prplexde	perplexedly
prplexte	perplexity
prkest	perquisite
	
# Page 162 Column 3	
pr-skeu	persecute
pr-skeush	persecution
pr-skeu^r	persecutor
pr-sever	persevere
pr-severans	perseverance
peshn	Persian
pr-seflash	persiflage
pr-semn	persimmon
prss	persist
prssns	persistence
prssnse	persistency
prss^nt	persistent
prs)	person
mprs)	impersonal
mprs)nat	impersonate
prs)^b	personable
prs)j	personage
prs)	personal
prs)^l	personality
pers)iz	personalize
prs)e	personally
prs)^l	personalty
prs)^f	personification
prsf	personify
prs)nel	personnel
	
# Page 163 Column 1	
prsp^v	perspective
prspkash	perspicacious
prspk	perspicacity
prspkeute	perspicuity
prspk	perspicuous
prspi	perspire
prsprash	perspiration
prspis	perspires
prsa_d	persuade
dsa_d	dissuade
prsa_dd	persuaded
prsa_de~	persuader
prsa_ds	persuades
prsa_sh	persuasion
prsa_sv	persuasive
prsa_svnes	persuasiveness
suash	suasion
pe~t	pert
pe~tn	pertain
pe~tnd	pertained
pe~tnash	pertinacious
pe~tn^s	pertinacity
pe~tnens	pertinence
pe~tnense	pertinency
pe~tnnt	pertinent
	
# Page 163 Column 2	
pe~tb	perturb
ds(tb	disturb
pe~tbash	perturbation
pe~tbd	perturbed
perus	peruse
perusl	perusal
peruva&'n	Peruvian
prvad	pervade
prvash	pervasion
prvas	pervasive
prves	perverse
prvese	perversely
prversh	perversion
prveste	perversity
prvesv	perversive
prve~t	pervert
prve~td	perverted
prvus	pervious
mprvus	impervious
pesm-sm	pessimism
pesmes	pessimist
pesm^st	pessimistic
pest	pest
pest'us	pesthouse
pestlens	pestilence
	
# Page 163 Column 3	
pestlent	pestilent
pestlensh	pestilential
pet	pet
petl	petal
ptet	petite
petsh	petition
ptshe~	petitioner
ptrel	petrel
ptrf	petrify
ptrfaksh	petrifaction
ptrfakv	petrifactive
ptrl	petrol
ptrlm	petroleum
ptekot	petticoat
pte	petty
pte~	pettily
ptenes	pettiness
ptsh	pettish
ptlant	petulant
ptlans	petulance
ptuna&'	petunia
peu	pew
peute~	pewter
fatn	phaeton
falankx	phalanx
	
# Page 164 Column 1	
fantm	phantom
fantasm	phantasm
fa~mse	pharmacy
fa~ms^a	pharmaceutic
fa~ms^a|	pharmaceutical
fesnt	pheasant
fenol	phenol
fenomn	phenomenon
fenomna	phenomena
fenomnl	phenomenal
fa&el	phial
felandrr	philanderer
felan	philanthropy
felan-k	philanthropic
felan^k	philanthropical
felan^st	philanthropist
felatlk	philatelic
fel'amnek	philharmonic
fel^o(	philology
felos	philosophy
felos^r	philosopher
felosk	philosophic
felos^k	philosophical
felosiz	philosophize
felte~	philter
	
# Page 164 Column 2	
flem	phlegm
flegm^a	phlegmatic
flox	phlox
fnek	phonic
fn^a	phonetic
fnetsh	phonetician
fn^as	phonetics
fn^o	phonograph
fosf	phosphorus
fosfat	phosphate
fosfid	phosphide
fosf	phosphoresce
fosfns	phosphorescence
fosfnt	phosphorescent
ftel^k	photo-electric
ft^o	photograph
ftogravr	photogravure
ftoleth^o	photolithograph
ftomikr^o	photomicrograph
ftopla	photoplay
ftostat	photostat
fras	phrase
fras^o(	phraseology
fren^a	phrenetic
frant	frantic
	
# Page 164 Column 3	
fren^o(	phrenology
thiss	phthisis
felak	phylactery
fesk	physic
fes^k	physical
fesesh	physician
fesess	physicist
fesks	physics
fesgnome	physiognomy
fes^o(	physiology
fesek	physique
pa&'no	piano
pa&'nes	pianist
pa&'za	piazza
pika	pica
pkresk	picaresque
pklo	piccolo
pek	pick
pekaks	pickax
pekr	picker
peket	picket
pkl	pickle
pknek	picnic
pktr	picture
pkt^o	pictograph
	
# Page 165 Column 1	
pktrl	pictorial
pktra|	pictorially
pktres(k	picturesque
pa&ete	piety
pg	pig
pgre	piggery
pgsh	piggish
pg'edd	pig-headed
pejn	pigeon
pgm	pigment
pgmsh	pigmentation
pik	pike
pikstaf	pikestaff
pelaste~	pilaster
pelcha~d	pilchard
pil	pile
pild	piled
pel^g	pilgrim
pel^gj	pilgrimage
pelj	pillage
pelr	pillar
peln	pillion
pelre	pillory
pelo	pillow
pelokas	pillowcase
	
# Page 165 Column 2	
pilot	pilot
pemnto	pimento
pempl	pimple
pen	pin
penfor	pinafore
pensers	pincers
pench	pinch
pin	pine
pinapl	pineapple
pengpong	ping-pong
penk	pink
penas	pinnace
pen^k	pinnacle
pip	pipe
pipj	pipage
pipkla	pipe clay
pipt	piped
pept	pipette
peknt	piquant
peknse	piquancy
pek	pique
pira	pirate
pirse	piracy
pir^a	piratic
pere_t	pirouette
	
# Page 165 Column 3	
peskatrl	piscatorial
pestasho	pistachio
pestl	pistol
pestn	piston
pet	pit
petfo	pitfall
petd	pitted
pech	pitch
peche~	pitcher
peth	pith
ptns	pittance
pte	pity
ptus	piteous
pteb	pitiable
pted	pitied
pte-f	pitiful
pte-l	pitiless
pte-lnes	pitilessness
pevt	pivot
pevtl	pivotal
plaka~d	placard
plak	placate
plak^b	placability
plakb	placable
plas	place
	
# Page 166 Column 1	
plasman	placeman
plasm	placement
plaser	placer
plasd	placid
plasdte	placidity
plajr-sm	plagiarism
plajres	plagiarist
plajriz	plagiarize
plajre	plagiary
plag	plague
plan	plain
plane~	plainer
plane	plainly
plan-nes	plainness
plant	plaint
pdf	plaintiff
plantv	plaintive
plan	plan
plant	planned
planet	planet
planetoe	planetoid
planjnt	plangent
plank	plank
plant	plant
mplant	implant
	
# Page 166 Column 2	
plantsh	plantation
plantd	planted
plantr	planter
splant	supplant
t^plant	transplant
plantn	plantain
plaste~	plaster
plaste~d	plastered
plaste~^r	plasterer
pl^st	plastic
plas^s	plasticity
plat	plate
plato	plateau
platd	plated
platf	plateful
platn	platen
plate~	plater
platfm	platform
platnum	platinum
platnat	platinate
platnek	platinic
platet	platitude
platetudniz	platitudinize
platetudnus	platitudinous
platun	platoon
	
# Page 166 Column 3	
plodt	plaudit
plosb	plausible
plos^b	plausibility
pla	play
plar	player
plaf	playful
plag^r	playgoer
plagrnd	playground
pla's	playhouse
plamat	playmate
plath'	plaything
platm	playtime
plari	playwright
pl	please
dspl	displease
ples	pleasant
plese	pleasantly
plesnes	pleasantness
ples^re	pleasantry
pleshb	pleasurable
plesh	pleasure
nples	unpleasant
plebn	plebeian
plebest	plebiscite
plektrm	plectrum
	
# Page 167 Column 1	
plej	pledge
pleje	pledgee
pleje~	pledger
plejor	pledgor
plente	plenty
plenre|	plenarily
plenre	plenary
plenep	plenipotentiary
plenetu	plenitude
plentus	plenteous
plentef	plentiful
plenasm	pleonasm
plethra	plethora
plethrk	plethoric
plra	pleura
plrse	pleurisy
plint	pliant
pli^b	pliability
plib	pliable
plinse	pliancy
plit	plight
plau	plow
plausha~	plowshare
pluk	pluck
pluke|	pluckily
	
# Page 167 Column 2	
pluke	plucky
plug	plug
plm	plumb
plmd	plumbed
plme~	plumber
plmbk	plumbic
plmbago	plumbago
plum	plume
plumj	plumage
plmp	plump
plndr	plunder
plndrr	plunderer
plnj	plunge
plnje~	plunger
plprf	pluperfect
plrl	plural
plr^l	plurality
plrliz	pluralize
plus	plus
plutok	plutocrat
plutokse	plutocracy
plutok^a	plutocratic
num^a	pneumatic
num^as	pneumatics
numna&'	pneumonia
	
# Page 167 Column 3	
poket	pocket
poketbk	pocketbook
poket-nif	pocketknife
poem	poem
poet	poet
poetaste~	poetaster
po^a	poetic
poetre	poetry
poenant	poignant
poenanse	poignancy
poen-sa&'na	poinciana
poen-seta&'	poinsettia
oe	point
oe^r	pointer
oel	pointless
oes	points
poes	poise
poesn	poison
poesnd	poisoned
poesne~	poisoner
poesnus	poisonous
pok	poke
pokr	poker
pol	pole
polr	polar
	
# Page 168 Column 1	
pol^r	polarity
polrezash	polarization
polriz	polarize
polrizer	polarizer
polkat	polecat
polemek	polemic
polem^k	polemical
poles	police
polesman	policeman
pol	policy
pol'oldr	policyholder
polsh	polish
polshe~	polisher
poli	polite
pola&e	politely
polines	politeness
pol^a	politic
pol^a|	political
poletsh	politician
pol^a&e	politicly
pol^as	politics
p^l	polity
polka	polka
polen	pollen
polut	pollute
	
# Page 168 Column 2	
polutd	polluted
polsh	pollution
polonas	polonaise
polonem	polonium
poltrun	poltroon
polandre	polyandry
poleg	polygamy
poleglot	polyglot
polegn	polygon
poleg	polygonal
polep	polyp
pomad	pomade
pomegranat	pomegranate
pml	pommel
pom^o(	pomology
pompdur	pompadour
pompus	pompous
pomp^s	pomposity
poncho	poncho
pond	pond
pondr	ponder
pondrb	ponderable
pondrus	ponderous
ponje	pongee
pona~d	poniard
	
# Page 168 Column 3	
pon-df	pontiff
pon-df^k	pontifical
pon-dfk	pontificate
pontun	pontoon
pone	pony
pu	poor
pust	poorest
pu'us	poorhouse
pue	poorly
punes	poorness
poplr	poplar
poplen	poplin
pop	popular
dpop^u	depopulate
poplas	populace
pop^r	popularity
popiz	popularize
pope	popularly
pop^u	populate
popus	populous
npop	unpopular
poselan	porcelain
porch	porch
porkpin	porcupine
porfre	porphyry
	
# Page 169 Column 1	
porpus	porpoise
porej	porridge
porenje~	porringer
pot	port
potb	portable
potj	portage
potl	portal
potkules	portcullis
pote~	porter
poter'us	porterhouse
potfoleo	portfolio
pot'ol	porthole
poteko	portico
pota~	portiere
potnd	portend
potnt	portent
potntus	portentous
porsh	portion
aporshd	apportioned
potra	portray
potra	portrait
potratr	portraiture
potral	portrayal
potuges	Portuguese
pos	pose
	
# Page 169 Column 2	
dpo	depose
espo	expose
mpo	impose
poss	poses
prpo	propose
spo	suppose
posh	position
dposh	deposition
esposh	exposition
mposh	imposition
preposh	preposition
prposh	proposition
sposh	supposition
postv	positive
poss	possess
dsposs	dispossess
poss	possession
possv	possessive
possr	possessor
possr^sh	possessorship
pos	possible
mpos	impossible
pos^b	possibility
pose	possibly
posm	possum
	
# Page 169 Column 3	
post	post
p^j	postage
p^l	postal
p^ka~d	postcard
p^dt	postdate
p^'ast	posthaste
p^man	postman
p^mark	postmark
p^mas	postmaster
poste~	poster
p^er	posterior
pos^r	posterity
p^e~n	postern
p^gradeut	postgraduate
p^eumus	posthumous
p^eln	postilion
p^lud	postlude
p^pon	postpone
p^ponm	postponement
p^s(	postscript
post^u	postulate
postlant	postulant
post^ush	postulation
postr	posture
pot	pot
	
# Page 170 Column 1	
pote~	potter
pote~e	pottery
potb	potable
potsh	potation
potasm	potassium
potash	potash
potato	potato
potnt	potent
mpotnt	impotent
om-nep	omnipotent
plenep	plenipotentiary
potnse	potency
potnta	potentate
potnsh	potential
potnsh^l	potentiality
potnsha|	potentially
posh	potion
potj	pottage
pauch	pouch
poltes	poultice
poltre	poultry
pns	pounce
pn	pound
pnj	poundage
pn-kak	poundcake
	
# Page 170 Column 2	
paut	pout
pov	poverty
paude~	powder
paude~e	powdery
pau	power
mpau	empower
pauf	powerful
paul	powerless
prk^k	practical
prkt^b	practicability
prktb	practicable
prk^l	practicality
prk^ke	practically
prk^knes	practicalness
prkt	practice
prktshe~	practitioner
pragmat-sm	pragmatism
pragm^a	pragmatic
pragmates	pragmatist
prare	prairie
pras	praise
prasd	praised
pra	pray
prar	prayer
prarf	prayerful
	
# Page 170 Column 3	
pra&'mb	preamble
pra&'ra	prearrange
prebendre	prebendary
prekar	precarious
prekosh	precaution
prekoshre	precautionary
prese	precede
presdns	precedence
presdn	precedent
preses	precedes
npresdn^t	unprecedented
presep	precept
presep^r	preceptor
presep^res	preceptress
presenk	precinct
preshus	precious
presepta	precipitate
prespes	precipice
preseptnse	precipitancy
preseptn	precipitant
preseptae	precipitately
preseptanes	precipitateness
preseptsh	precipitation
preseptus	precipitous
press	precise
	
# Page 171 Column 1	
presesh	precision
preklud	preclude
preklsh	preclusion
prekosh	precocious
prek^s	precosity
prekse	preconceive
prek-sepsh	preconception
prekrser	precursor
prekrsre	precursory
predash	predacious
dpredsh	depredation
pred^s	predacity
predtre	predatory
pred-ses	predecease
predss	predecessor
predstn	predestine
predestnsh	predestination
pre^e~mn	predetermine
predek	predicament
predekat	predicate
predek	predict
predekb	predictable
predeksh	prediction
npredekb	unpredictable
predjes	predigest
	
# Page 171 Column 2	
predjesh	predigestion
predleksh	predilection
predspo	predispose
predsposh	predisposition
predomnat	predominate
predomns	predominance
predomnant	predominant
pre^emn	preeminent
premt	preempt
premsh	preemption
prefas	preface
prefatre	prefatory
prefk	prefect
pref	prefer
pref^b	preferability
pref^b	preferable
prefns	preference
prefnsh	preferential
prefnsha|	preferentially
prefm	preferment
prefex	prefix
pr'estrk	prehistoric
prejj	prejudge
prej	prejudice
prej^l	prejudicial
	
# Page 171 Column 3	
prela	prelate
prelem	preliminary
prelud	prelude
prematr	premature
premedtat	premeditate
premedtsh	premeditation
preme~	premier
premes	premise
premm	premium
premnsh	premonition
premnetre	premonitory
preokp	preoccupation
preokp^t	preoccupied
prep	prepare
prep^t-nes	preparedness
nprep^t	unprepared
prepa	prepay
prepd	prepaid
prepam	prepayment
prepondra	preponderate
prepond	preponderance
prepond	preponderant
preposh	preposition
preposhl	prepositional
preposs	prepossess
	
# Page 172 Column 1	
preposs	prepossession
prepos	preposterous
prerkest	prerequisite
prerog	prerogative
presj	presage
presb	presbyterian
presht	prescient
nesht	nescient
om-nesht	omniscient
preshns	prescience
preskr	prescribe
preskrsh	prescription
preskrv	prescriptive
pr	present
pr	presence
pr^b	presentability
prb	presentable
prsh	presentation
pre	presently
pres)entem	presentiment
pres)ev	preserve
pres)evash	preservation
pres)evtv	preservative
pres)evr	preserver
presi	preside
	
# Page 172 Column 2	
presdnse	presidency
presdn	president
presdnsh	presidential
pres	press
presman	pressman
preshu	pressure
presrk	presswork
prestj	prestige
prestdjta^r	prestidigitator
pr-sm	presume
pr-smb	presumable
pr-sm^te	presumedly
pr-sme~	presumer
pr-smsh	presumption
pr-sm-tv	presumptive
pr-sm-tuus	presumptuous
pretn	pretend
pretn^t	pretended
pretn^r	pretender
pretns	pretense
pretnsh	pretension
pretnshus	pretentious
pretret	preterit
pretnatrl	preternatural
s^natrl	supernatural
	
# Page 172 Column 3	
pretx	pretext
prete	pretty
prete|	prettily
pretenes	prettiness
pretzel	pretzel
preva	prevail
prevlens	prevalence
prevlent	prevalent
prevar	prevaricate
prevarsh	prevarication
prevar^r	prevaricator
prevnt	prevent
prevnt^b	preventability
prevntb	preventable
prvnsh	prevention
prevntv	preventive
prevs	previous
prevesh	prevision
pris	price
prist	priced
prisl	priceless
priss	prices
prekl	prickle
preke	prickly
prid	pride
	
# Page 173 Column 1	
prest	priest
prestes	priestess
prest^d	priesthood
preste	priestly
priml	primal
primre	primary
primre|	primarily
primat	primate
primse	primacy
primev	primeval
premetv	primitive
primjnetr	primogeniture
primsodl	primordial
prens	prince
prense-nes	princeliness
prense	princely
prenses	princess
pren	principal
pren	principle
pren^l	principality
prene	principally
npren^t	unprincipled
prent	print
prentb	printable
prentd	printed
prentr	printer
	
# Page 173 Column 2	
prentre	printery
pra&er	prior
pri^r	priority
presm	prism
presm^a	prismatic
presn	prison
mpresnd	imprisoned
presne~	prisoner
prestn	pristine
pri	private
privse	privacy
privte~	privateer
pra&e	privately
prines	privateness
privash	privation
dpri	deprive
prevt	privet
prev	privilege
preve	privy
preve|	privily
prevte	privity
prb	probable
mprb	improbable
pr^b	probability
prbe	probably
	
# Page 173 Column 3	
prbat	probate
prbash	probation
prbte	probity
prbl	problem
prbl^a	problematic
prse	proceed
prse^r	procedure
prsesh	procession
prseshl	processional
prss	process
prsss	processes
proklam	proclaim
proklamsh	proclamation
proklevte	proclivity
prokras	procrastinate
prokrassh	procrastination
prokras^r	procrastinator
prokte~	proctor
prokr	procure
prokrb	procurable
prokrash	procuration
prokrm	procurement
prodeg	prodigal
prodeg^l	prodigality
prodje	prodigy
	
# Page 174 Column 1	
prodjus	prodigious
produs	produce
bproduk	by-product
produst	produced
produsr	producer
produss	produces
produk	product
produksh	production
produkv	productive
produkvte	productivity
prfan	profane
prfansh	profanation
prf^nt	profanity
prfes	profess
prfest	professed
prfesh	profession
prfeshl	professional
prfeshl-sm	professionalism
prfesha|	professionally
prfesr	professor
prfesrl	professorial
prfesr^sh	professorship
prfer	proffer
prfesht	proficient
prfeshse	proficiency
	
# Page 174 Column 2	
prfil	profile
prft	profit
prftb	profitable
prftl	profitless
prfleg	profligate
prflegse	profligacy
prfnd	profound
prfnd-nes	profoundness
prfndete	profundity
prfeu	profuse
prfeue	profusely
prfeunes	profuseness
prfeush	profusion
prjene	progeny
prjenete~	progenitor
prgnoss	prognosis
prgn^st	prognostic
prgn^sta	prognosticate
pr^g	program
prg	progress
prgsh	progression
prgv	progressive
pr'ebt	prohibit
pr'ebsh	prohibition
pr'ebshes	prohibitionist
	
# Page 174 Column 3	
pr'ebtv	prohibitive
pr'ebtre	prohibitory
prjk	project
prjktl	projectile
prjksh	projection
prjkr	projector
prletra&'n	proletarian
prletra&'t	proletariat
prlefk	prolific
prlex	prolix
prlexte	prolixity
prlog	prologue
prlng	prolong
prlngat	prolongate
prlngsh	prolongation
prmnad	promenade
promn	prominent
promns	prominence
prmesk	promiscuous
prmeskeute	promiscuity
prmeske	promiscuously
prmesknes	promiscuousness
prmes	promise
prmest	promised
prmesre	promissory
	
# Page 175 Column 1	
prmntre	promontory
prmot	promote
prmotd	promoted
prmote~	promoter
prmosh	promotion
prmt	prompt
prmpd	prompted
prmtr	prompter
prmtetu	promptitude
prmte	promptly
prmtnes	promptness
prmul	promulgate
prmulsh	promulgation
prn-n	pronoun
prn-ns	pronounce
prn-nsb	pronounceable
prn-nst	pronounced
prn-nsm	pronouncement
prnunsa&'sh	pronunciation
prf	proof
prpg	propagate
prpganda	propaganda
prpgandes	propagandist
prpgsh	propagation
prpl	propel
	
# Page 175 Column 2	
prplant	propellant
prplr	propeller
prplsh	propulsion
prpn^s	propensity
prpr	proper
prpt	property
prfet	prophet
prfse	prophecy
prfsi	prophesy
prf^a	prophetic
prflak	prophylactic
prpenk	propinquity
prpesha&'t	propitiate
prpesha&'sh	propitiation
prpesha&'tre	propitiatory
prpesh	propitious
prprsh	proportion
dspr	disproportionate
prprshb	proportionable
prprshl	proportional
prprshat	proportionate
prpo	propose
prpol	proposal
prposh	proposition
prpn	propound
	
# Page 175 Column 3	
prpon	proponent
prpri	proprietor
prpri^re	proprietary
prpri	propriety
prrat	prorate
prrata	pro rata
prrog	prorogue
