# Page 26 Column 1	
kabl	cabal
kavler	cavalier
kave~n	cavern
kava&'r	caviar
	
# Page 29 Column 1	
kavel	cavil
kavte	cavity
ses	cease
sest	ceased
sesl	ceaseless
sess	ceases
ssash	cessation
nssnt	incessant
ns)es'	unceasing
sede~	cedar
sed	cede
aksed	accede
sedd	ceded
esed	exceed
n^sed	intercede
prese	precede
prse	proceed
r-sed	recede
sesed	secede
sukd	succeed
sedela	cedilla
seleb	celebrate
seleb^nt	celebrant
selebsh	celebration
seleb^r	celebrity
	
# Page 29 Column 2	
sel^r	celerity
akselra	accelerate
dselrash	deceleration
selre	celery
seleschl	celestial
selr	cellar
chelo	cello
sellr	cellular
selloe	celluloid
semnt	cement
semetre	cemetery
senotaf	cenotaph
senser	censer
sensor	censor
sensorus	censorious
sensor^sh	censorship
nsensor^t	uncensored
senshu	censure
senshub	censurable
senshu^t	censured
senshus	censures
senss	census
sen-tnre	centenary
sen-tnra&'n	centenarian
sen-tnl	centennial
	
# Page 29 Column 3	
sn^	center
sentgra	centigrade
sentped	centipede
sn^l	central
sn^lizsh	centralization
sn^liz	centralize
d-sn^liz	decentralize
sn^f	centrifugal
sn^p	centripetal
sentre	century
seramek	ceramic
serblm	cerebellum
serbrl	cerebral
seremnt	cerement
se~mne	ceremony
se~mnl	ceremonial
se~mnus	ceremonious
nse~mnus	unceremonious
setn	certain
asetnd	ascertained
setne	certainly
setnte	certainty
nsetn	uncertain
setv	certify
setv	certificate
	
# Page 30 Column 1	
s(e~t-f	certification
s(e~shorari	certiorari
s(e~tet	certitude
ssash	cessation
nssnt	incessant
sesh	cession
shagren	chagrin
cha~	chair
a~mcha~	armchair
cha~man	chairman
kalsedne	chalcedony
chok	chalk
chalenj	challenge
chalenje~	challenger
nchalenjd	unchallenged
chambr	chamber
chambrlan	chamberlain
kameln	chameleon
shame	chamois
shampan	champagne
champn	champion
champn^sh	championship
chansel	chancel
chanselr	chancellor
chansere	chancery
	
# Page 30 Column 2	
shandler	chandelier
ch	change
chb	changeable
chl	changeless
es(ch	exchange
n^chb	interchangeable
nch^t	unchanged
chanl	channel
chant	chant
kaos	chaos
ka^a	chaotic
chapl	chapel
shapron	chaperon
chaplen	chaplain
chapte~	chapter
kak	character
kak^st	characteristic
kakezash	characterization
kakiz	characterize
kakiss	characterizes
charkol	charcoal
chj	charge
chjb	chargeable
chjd	charged
chje~	charger
	
# Page 30 Column 3	
dschj	discharge
charot	chariot
charote~	charioteer
ch^r	charity
cha~tb	charitable
ncha~tb	uncharitable
sharlatn	charlatan
cha~te~	charter
cha~te~d	chartered
shase	chassis
chasn	chasten
chastiz	chastise
chatl	chattel
shufr	chauffeur
chep	cheap
chepn	cheapen
chepnd	cheapened
chepr	cheaper
chepes	cheapest
chepnes	cheapness
chek	check
che~	cheer
che~d	cheered
che~f	cheerful
che~fnes	cheerfulness
	
# Page 31 Column 1	
che~l	cheerless
che~e	cheery
kem^k	chemical
kemes	chemist
kemesre	chemistry
chersh	cherish
chere	cherry
cherub	cherub
chest	chest
chesnut	chestnut
shevrn	chevron
chekn	chicken
chid	chide
cheftn	chieftain
shefn	chiffon
child	child
child^d	childhood
childsh	childish
childla	childlike
chel	children
g^child	grandchild
kemera	chimera
kemerk	chimeric
kemer^k	chimerical
chm-ne	chimney
	
# Page 31 Column 2	
chentz	chintz
chepm-nk	chipmunk
chesl	chisel
chesld	chiseled
shevlre	chivalry
shevlrk	chivalric
shevlrus	chivalrous
kloren	chlorine
bklori	bichloride
klora	chlorate
klori	chloride
klorenat	chlorinate
klorfm	chloroform
chkla	chocolate
choes	choice
choess	choices
ki_r	choir
kolra	cholera
chus	choose
chos	chose
chosn	chosen
kod	chord
korus	chorus
kris	Christ
kresn	christen
	
# Page 31 Column 3	
kresn-dm	Christendom
kresch	Christian
kresch^nt	Christianity
kres	Christmas
krom^a	chromatic
akrom^a	achromatic
pankrom^a	panchromatic
kromem	chromium
kromat	chromate
kromek	chromic
kronek	chronic
kron^k	chronicle
kron^kr	chronicler
kron^o	chronograph
kron^o(	chronology
kronomete~	chronometer
kresnthemm	chrysanthemum
chnk	chunk
che~ch	church
cherl	churl
che~n	churn
sektrex	cicatrix
segr	cigar
segret	cigarette
senktr	cincture
	
# Page 32 Column 1	
sendr	cinder
nsenra	incinerate
senemat^o	cinematograph
senamn	cinnamon
senkfoel	cinquefoil
sifr	cipher
sekl	circle
sekld	circled
sekle	circlet
nsekl	encircle
s(^t	circuit
s(^tus	circuitous
s(^l	circular
s(^lezash	circularization
s(^liz	circularize
s(^la	circulate
s(^la^t	circulated
s(^lash	circulation
s(^la^re	circulatory
s(^f	circumference
s(^flex	circumflex
s(^loksh	circumlocution
s^navg	circumnavigate
s(^skr	circumscribe
s(^sp	circumspect
	
# Page 32 Column 2	
s(^spsh	circumspection
s(^stns	circumstance
s(^stnss	circumstances
s(^stnsh	circumstantial
s(^stnsha|	circumstantially
s(^vnt	circumvent
s(^s	circus
sstn	cistern
setdl	citadel
sit	cite
sitsh	citation
nsit	incite
rsit	recite
setz	citizen
setzre	citizenry
setz-s	citizens
setz^sh	citizenship
setrk	citric
setrn	citron
svk	civic
sv	civil
sv^a&'n	civilian
sv^l	civility
svezash	civilization
sviz	civilize
	
# Page 32 Column 3	
nsvizd	uncivilized
klam	claim
aklam	acclaim
klamnt	claimant
klamd	claimed
k^klam	counterclaim
dsklam	disclaim
re^m	reclaim
nklamd	unclaimed
klarvoens	clairvoyance
klame~	clamor
klamerus	clamorous
klandestn	clandestine
klangr	clangor
klarf	clarify
klar^f	clarification
klarenet	clarinet
klarn	clarion
klask	classic
klas^k	classical
klasess	classicist
klasf	classify
klas^f	classification
nklaf^t	unclassified
klav^k	clavicle
	
# Page 33 Column 1	
klaver	clavier
klen	clean
klend	cleaned
klene~	cleaner
klenes	cleanest
klenenes	cleanliness
klennes	cleanness
n-klen	unclean
kle	clear
kle^j	clearage
kle^ns	clearance
kle^t	cleared
kle^r	clearer
kle^st	clearest
klee	clearly
klenes	clearness
kles	clears
klev	cleave
klevj	cleavage
klevr	cleaver
klemnt	clement
klemnse	clemency
e^mnt	inclement
kleje	clergy
klejman	clergyman
	
# Page 33 Column 2	
klr	clerk
klr^k	clerical
klev	clever
klev^r	cleverer
klev^st	cleverest
klint	client
klint^j	clientage
klintel	clientele
klimak	climactic
klimat	climate
aklimat	acclimate
klim^a	climatic
klimax	climax
a^klimax	anticlimax
klenek	clinic
klen^k	clinical
klensh	clinician
kloki_z	clockwise
kloeste~	cloister
klos	close
klosd	closed
kloser	closer
kloses	closest
dsklos	disclose
klos)et	closet
	
# Page 33 Column 3	
kloshu	closure
klau	cloud
klaul	cloudless
klaus	clouds
klaue	cloudy
nklau^t	unclouded
klovr	clover
kln	clown
klb	club
klmse	clumsy
klmser	clumsier
kmse^st	clumsiest
klmse|	clumsily
klmsenes	clumsiness
kluste~	cluster
klch	clutch
klute~	clutter
koch	coach
koajte~	coadjutor
kag^u	coagulate
kol	coal
koles	coalesce
kolesns	coalescence
kolesent	coalescent
kolesh	coalition
	
# Page 34 Column 1	
kors	coarse
korsn	coarsen
krsnes	coarseness
krser	coarser
krses	coarsest
kost	coast
kostl	coastal
kosti_s	coastwise
koothr	co-author
kobolt	cobalt
kob	cobble
kobe_b	cobweb
kkan	cocaine
kochnel	cochineal
kkad	cockade
kktal	cocktail
kko	cocoa
kknut	coconut
kkun	cocoon
kodft	codefendant
kod-fesh	codfish
kodsel	codicil
kodf	codify
kod^f	codification
koedu	coeducation
	
# Page 34 Column 2	
kofesht	coefficient
koers	coerce
koersh	coercion
koersv	coercive
koev	coeval
koes)k^r	coexecutor
kofe	coffee
kofr	coffer
kofn	coffin
kog	cog
kojnt	cogent
kojse	cogency
kojta	cogitate
kojtsh	cogitation
kojtat^v	cogitative
konak	cognac
knat	cognate
kneznt	cognizant
knezns	cognizance
knomn	cognomen
ko'er	cohere
ko'erens	coherence
ko'erent	coherent
ko'err	coherer
ko'esh	cohesion
	
# Page 34 Column 3	
ko'esv	cohesive
n-ko'erent	incoherent
ko'ot	cohort
ka_fur	coiffure
koenj	coinage
konsi	coincide
konsedns	coincidence
konsedn	coincident
konsednl	coincidental
kulandr	colander
kolsem	coliseum
kolabra	collaborate
kolabrash	collaboration
kolabra^r	collaborator
kolaps	collapse
kolapsb	collapsible
kolr	collar
kola	collate
kolash	collation
kolat	collateral
koleg	colleague
kol	collect
kolb	collectible
kolsh	collection
kol^v	collective
	
# Page 35 Column 1	
kolr^sh	collectorship
n-kolb	uncollectible
kolej	college
koleja&'t	collegiate
koli	collide
kolesh	collision
kolodn	collodion
koloe	colloid
koloke	colloquy
kolok	colloquial
koloksm	colloquialism
kolsh	collusion
kolon	cologne
krnl	colonel
kolnad	colonnade
kolne	colony
kolon	colonial
kolnes	colonist
kolnezash	colonization
kolniz	colonize
kolfn	colophon
kul	color
kull	colorless
dskul	discolor
kolos	colossal
	
# Page 35 Column 2	
koloss	colossus
kolpote~	colporteur
kolm	column
kolm-na~	columnar
koma	coma
kmatos	comatose
kbat	combat
kbatn	combatant
kbatv	combative
non-kbatn	non-combatant
kbi	combine
kbnsh	combination
kbi^t	combined
kbis	combines
kbussh	combustion
kbus^b	combustibility
km	come
kmede	comedy
kmeda&'n	comedian
kmet	comet
kft	comfort
kftb	comfortable
kfte~	comforter
dskft	discomfort
n-kftb	uncomfortable
	
# Page 35 Column 3	
kmek	comic
km^k	comical
kmete	comity
kma	comma
kman	command
kman^nt	commandant
kman^er	commandeer
kman^r	commander
kman-m	commandment
kmmra	commemorate
kmmrash	commemoration
kmmra^v	commemorative
kmns	commence
kmnst	commenced
kmnsm	commencement
kmnd	commend
kmn-db	commendable
kmndsh	commendation
kmndtre	commendatory
kmndd	commended
kmnshut	commensurate
kmnshub	commensurable
kmnt	comment
kmntre	commentary
kmnta^r	commentator
	
# Page 36 Column 1	
kmntd	commented
kme~|	commerce
kmesh	commercial
kmeshsm	commercialism
kmeshezash	commercialization
kmeshiz	commercialize
kmsera	commiserate
kmserash	commiseration
kmsh	commission
kmshd	commissioned
kmshe~	commissioner
kmshe~|	commissioners
kmet	commit
kmet-m	commitment
kete	committee
kmodus	commodious
kmodte	commodity
kmodr	commodore
kmn	common
kmne~	commoner
kmne	commonly
kmnlth	commonwealth
kmosh	commotion
kmun	commune
kmunl	communal
	
# Page 36 Column 2	
kmunun	communion
kmunsm	communism
knu^nt	community
kmu	communicate
kmu^b	communicable
kmu^nt	communicant
kmu	communication
kmu^v	communicative
eskmu	excommunicate
n-kmu^v	uncommunicative
kmut	commute
kmutsh	commutation
kmute~	commuter
kpak	compact
kpaknes	compactness
kpanun	companion
kpanunb	companionable
kpanun^sh	companionship
kp	company
akpe	accompany
kpr	compare
kprb	comparable
kprv	comparative
kpr^t	compared
kpr-sn	comparison
	
# Page 36 Column 3	
n-kprb	incomparable
kpt-m	compartment
apt-m	apartment
dpt-m	department
kpas	compass
kpash	compassion
kpashat	compassionate
kpat^b	compatibility
kpatb	compatible
n-kptb	incompatible
kptrot	compatriot
kpl	compel
kpld	compelled
kplsh	compulsion
kplsre	compulsory
kpndm	compendium
kpndus	compendious
kpnsa	compensate
kpnsash	compensation
kpnsa^re	compensatory
kpe	compete
kpe^t	competed
kpes	competes
kptsh	competition
kptetv	competitive
	
# Page 37 Column 1	
kptet	competitor
kptn	competent
kptns	competence
kptne	competently
n-kptn	incompetent
kpil	compile
kpelash	compilation
kpild	compiled
kplasnt	complacent
kplasns	complacence
kplasnse	complacency
kp	complain
kp^nt	complainant
kp	complaint
kplasnt	complaisant
kplem	complement
kp	complete
kpsh	completion
n-kp	incomplete
n-kp^t	uncompleted
kplex	complex
kplexte	complexity
kplexsh	complexion
kplek	complicate
kplek^t	complicated
	
# Page 37 Column 2	
kpleksh	complication
kple^s	complicity
akples	accomplice
kplem	compliment
kplemre	complimentary
n-kplemre	uncomplimentary
kplen	complin
kpli	comply
kplins	compliance
kplint	compliant
kpon	component
kpot	comport
kpo	compose
kpo^te	composedly
kpo^r	composer
kpos	composes
kpos	composite
kposh	composition
kpos^r	compositor
kposhu	composure
kpn	compound
kprend	comprehend
kprendd	comprehended
kprensb	comprehensible
kprensh	comprehension
	
# Page 37 Column 3	
kprensv	comprehensive
n-kprensb	incomprehensible
kpres	compress
kpresb	compressible
kpresh	compression
kpreser	compressor
kpris	comprise
kprisd	comprised
kprmis	compromise
kprmisd	compromised
k^lr	comptroller
kplsh	compulsion
kplsre	compulsory
kpnk	compunction
kpu	compute
kpush	computation
kpus	computes
kmrad	comrade
kmrad^sh	comradeship
kkatnat	concatenate
kkatnsh	concatenation
kkav	concave
kkavte	concavity
ksel	conceal
kseld	concealed
	
# Page 38 Column 1	
kselm	concealment
ksed	concede
ksedd	conceded
ksesh	concession
kset	conceit
ksetd	conceited
kse	conceive
kse^b	conceivable
ksn^t	concentrate
ksn^td	concentrated
ksn^sh	concentration
ksn^k	concentric
ksep	concept
ksepsh	conception
ks(e~n	concern
ks(e~n^t	concerned
n-ks(e~n^t	unconcerned
ks(e~t	concert
ks(e~td	concerted
dsks(e~td	disconcerted
preks(e~td	preconcerted
ksesh	concession
konk	conch
ksela&'t	conciliate
ksela&'sh	conciliation
	
# Page 38 Column 2	
ksela&'tre	conciliatory
erksilb	irreconcilable
rksil	reconcile
rksela&'sh	reconciliation
ksis	concise
ksisnes	conciseness
kklav	conclave
kk	conclude
kksh	conclusion
kkv	conclusive
n-kkv	inconclusive
kkk	concoct
kkkt	concocted
kkksh	concoction
kkmetn	concomitant
kkod	concord
kkodns	concordance
dskod	discord
kkrs	concourse
kkret	concrete
kkr	concur
kkrens	concurrence
kkrent	concurrent
kdm	condemn
kdmnsh	condemnation
	
# Page 38 Column 3	
kdmnatre	condemnatory
kdmd	condemned
kdns	condense
kdnsash	condensation
kdnst	condensed
kdnser	condenser
kdnss	condenses
kd-sen	condescend
kd-sen^t	condescended
kd-sensh	condescension
kdin	condign
kdem	condiment
kdsh	condition
kdshl	conditional
kdshla|	conditionally
rkdsh	recondition
n-kdshl	unconditional
kdolns	condolence
kdon	condone
kdonsh	condonation
kdus	conduce
kdusv	conducive
kduk	conduct
kdukd	conducted
kdukvte	conductivity
	
# Page 39 Column 1	
kdukr	conductor
mskduk	misconduct
kdet	conduit
kon	cone
knek	conic
kn^k	conical
kfeksh	confection
kfekshe~	confectioner
kfekshe~e	confectionery
kfedra	confederate
kfedrse	confederacy
kfedrash	confederation
kfer	confer
kfere	conferee
kferens	conference
kfer^t	conferred
kfes	confess
kfesh	confession
kfeshl	confessional
kfesr	confessor
kfi	confide
kfdn	confidant
kf	confidence
kf	confident
kfdnsh	confidential
	
# Page 39 Column 2	
kfdnsha|	confidentially
kfe	confidently
kfin	confine
kfind	confined
kfinm	confinement
n-kfind	unconfined
kfem	confirm
afem	affirm
kfemsh	confirmation
kfem^t	confirmed
n-kfem^t	unconfirmed
kfesk	confiscate
kfesk^t	confiscated
kfesksh	confiscation
kfesk^re	confiscatory
kflag	conflagration
kfl	conflict
kflsh	confliction
kfluns	confluence
kfm	conform
kfmb	conformable
kfmsh	conformation
kfm^t	conformed
kf^mt	conformity
kfnd	confound
	
# Page 39 Column 3	
kfndd	confounded
kfrnt	confront
kfrntd	confronted
kfeu	confuse
kfeu^t	confused
kfeus	confuses
kfeush	confusion
kfeut	confute
kfeutsh	confutation
kjel	congeal
kjeld	congealed
kjenl	congenial
kjen^l	congeniality
n-kjen^l	uncongeniality
kjes	congest
kjes^t	congested
kjesh	congestion
kjes-s	congests
kglom	conglomerate
kglomsh	conglomeration
kgrat^u	congratulate
kgrat^ut	congratulated
kgrat^ush	congratulation
kgrat^ure	congratulatory
kgreg	congregate
	
# Page 40 Column 1	
kgreg^t	congregated
kgregsh	congregation
kgregshl	congregational
gregar	gregarious
segreg	segregate
kg	congress
kg^l	congressional
kgruus	congruous
n-kgruus	incongruous
kjktr	conjecture
kjktrl	conjectural
kjugl	conjugal
kjug	conjugate
kjug^t	conjugated
kjugsh	conjugation
kjnk	conjunction
kjnktr	conjuncture
kju	conjure
kju^t	conjured
kju^r	conjurer
kjus	conjures
kek	connect
kekt	connected
keksh	connection
kekv	connective
	
# Page 40 Column 2	
dskekt	disconnected
n-kekt	unconnected
knivns	connivance
knesur	connoisseur
knotsh	connotation
kkr	conquer
kkrr	conqueror
n-kkrb	unconquerable
n-kkr^t	unconquered
kkes	conquest
kkes-s	conquests
ksang^nt	consanguinity
kshns	conscience
kshnshus	conscientious
kshus	conscious
kshusnes	consciousness
n-kshus	unconscious
kskr	conscript
kskrsh	conscription
ksekra	consecrate
ksekra^t	consecrated
ksekrash	consecration
n-ksekra^t	unconsecrated
ksekv	consecutive
ksenss	consensus
	
# Page 40 Column 3	
ksent	consent
ksentd	consented
ksek	consequence
ksek	consequent
kseksh	consequential
n-kseksh	inconsequential
ksev	conserve
ksevash	conservation
ksevt-sm	conservatism
ksevtv	conservative
ksevtre	conservatory
ksevd	conserved
ks	consider
ksb	considerable
ks^at	considerate
ks	consideration
ks-s	considers
n-ks^at	inconsiderate
n-ks^t	unconsidered
ksin	consign
ksind	consigned
ksene	consignee
ksinm	consignment
ksenr	consignor
kss	consist
	
# Page 41 Column 1	
kssns	consistence
kssnse	consistency
kss^nt	consistent
ksss	consists
n-kss^nt	inconsistent
k-sol	console
k-solash	consolation
k-sols	consoles
dsk-sola	disconsolate
n-k-solb	inconsolable
k-soledt	consolidate
k-soletd^t	consolidated
k-soledsh	consolidation
ksn	consonant
ksnans	consonance
k-sot	consort
k-sotd	consorted
k-spk	conspicuous
k-spke	conspicuously
n-k-spk	inconspicuous
k-spi	conspire
k-sperse	conspiracy
k-sperate~	conspirator
kstb	constable
kstb^re	constabulary
	
# Page 41 Column 2	
kstn	constant
kstnse	constancy
kstelash	constellation
kstnsh	consternation
kst	constitute
kstunse	constituency
kstunt	constituent
kstsh	constitution
kstshl	constitutional
kstsh^l	constitutionality
kstsha|	constitutionally
n-kstshl	unconstitutional
ks(^n	constrain
ks(^nt	constraint
n-ks(^nd	unconstrained
ks(^k	constrict
ks(^kr	constrictor
ks(^k	construct
ks(^kt	constructed
ks(^kv	constructive
msks(^ksh	misconstruction
ks(^	construe
ks(^d	construed
k-sul	consul
k-sula	consulate
	
# Page 41 Column 3	
k-su	consult
k-su^nt	consultant
k-sush	consultation
k-sus	consults
ksm	consume
ksm^t	consumed
ksme~	consumer
ksmat	consummate
ksmash	consummation
ksmsh	consumption
ksm-tv	consumptive
ktak	contact
ktajn	contagion
ktajus	contagious
ktn	contain
ktnd	contained
ktnr	container
ktamnat	contaminate
ktamnsh	contamination
n-ktamnatd	uncontaminated
ktmp	contemplate
ktmp^t	contemplated
ktmpsh	contemplation
ktmp^v	contemplative
ktmpranus	contemporaneous
	
# Page 42 Column 1	
ktmprre	contemporary
ktmt	contempt
ktmtb	contemptible
ktmtuus	contemptuous
ktnd	contend
ktndd	contended
ktnsh	contention
ktnt	content
ktntd	contented
ktnt-m	contentment
dsktntd	discontented
ktes	contest
ktes^nt	contestant
ktessh	contestation
ktes^t	contested
ktes-s	contests
n-ktesb	incontestable
ktx	context
kteg	contiguous
ktegeute	contiguity
ktnnt	continent
ktnntl	continental
ktnjnt	contingent
ktnjse	contingency
ktnu	continue
	
# Page 42 Column 2	
ktnl	continual
ktnle	continually
ktnuns	continuance
ktneush	continuation
ktnud	continued
ktneute	continuity
ktnuus	continuous
dsktnu	discontinue
ktot	contort
ktotd	contorted
ktosh	contortion
ktur	contour
k^band	contraband
k^k	contract
k^kt	contracted
k^ksh	contraction
k^kr	contractor
k^dek	contradict
k^deksh	contradiction
k^dekre	contradictory
n-k^dekt	uncontradicted
k^dstsh	contradistinction
k^psh	contraption
k^re	contrary
k^renes	contrariness
	
# Page 42 Column 3	
k^s	contrast
k^s^t	contrasted
k^ven	contravene
k^vnsh	contravention
k^b	contribute
k^bsh	contribution
k^b^r	contributor
k^b^re	contributory
k^t	contrite
k^sh	contrition
k^vd	contrived
k^vns	contrivance
k^l	control
k^ld	controlled
k^lr	controller
n-k^lb	uncontrollable
k^ve~t	controvert
k^vesh	controversial
k^vese	controversy
n-k^ve~td	incontroverted
n-k^ve~tb	incontrovertible
ktmse	contumacy
ktmash	contumacious
ktume	contumely
kteu^t	contused
	
# Page 43 Column 1	
kteush	contusion
knun	conundrum
kvalesns	convalescence
kvalesnt	convalescent
kveksh	convection
kven	convene
kvnsh	convention
rekven	reconvene
kven	convenience
kvens	conveniences
kven	convenient
n-kven^t	inconvenienced
n-kven	inconvenient
kvnt	convent
kvntl	conventual
kvnsh	convention
kvnshl	conventional
n-kvnshl	unconventional
kvej	converge
kvejnt	convergent
kves	converse
kvesnt	conversant
kvessh	conversation
kvesshl	conversational
kvest	conversed
	
# Page 43 Column 2	
kvess	converses
kve~t	convert
kversh	conversion
kve~td	converted
kve~tb	convertible
kvex	convex
kvexte	convexity
kva	convey
kvans	conveyance
kvad	conveyed
kvar	conveyer
kvek	convict
kveksh	conviction
kvens	convince
kvenst	convinced
kvev	convivial
kvev^l	conviviality
kvk	convoke
kvkash	convocation
kvkt	convoked
kvolsh	convolution
kvoe	convoy
kvoed	convoyed
kvls	convulse
kvlsh	convulsion
	
# Page 43 Column 3	
kvlsv	convulsive
kukre	cookery
koop	cooperate
koop	cooperation
koopv	cooperative
koodnat	coordinate
koodnsh	coordination
kopt-ne~^sh	copartnership
kopus	copious
kopr	copper
kpe	copy
kpe^st	copyist
kperi	copyright
kodj	cordage
koj	cordial
koj^l	cordiality
kodroe	corduroy
kork	cork
kon	corn
kon-stach	cornstarch
kone~	corner
konet	cornet
kones	cornice
krona	corona
krne~	coroner
	
# Page 44 Column 1	
kronet	coronet
kronsh	coronation
krprl	corporal
krpra	corporate
krprae	corporately
krp	corporation
n-krp	incorporate
kporl	corporeal
kor	corps
korps	corpse
krplens	corpulence
krpusl	corpuscle
kr	correct
kr^t	corrected
krsh	correction
kr^v	corrective
kre	correctly
krnes	correctness
kr^r	corrector
n-kr	incorrect
n-kr^t	uncorrected
korela	correlate
korela^t	correlated
korelash	correlation
korel	correlative
	
# Page 44 Column 2	
kres	correspond
kres	correspondence
kres^nt	correspondent
kres-s	corresponds
koredr	corridor
krob	corroborate
krobsh	corroboration
krob^v	corroborative
n-krob^t	uncorroborated
krod	corrode
krosh	corrosion
krosv	corrosive
korug	corrugate
korugsh	corrugation
korp	corrupt
korpsh	corruption
korpe	corruptly
n-korpb	incorruptible
korset	corset
kotex	cortex
kornd	corundum
krbrnd	carborundum
korusk	coruscate
korusksh	coruscation
koriza	coryza
	
# Page 44 Column 3	
kosm^a	cosmetic
kosmek	cosmic
kosmpol	cosmopolitan
kos	cost
kose-nes	costliness
kose	costly
kostm	costume
kostmd	costumed
kostmr	costumer
kose	cosy
kose|	cosily
kosenes	cosiness
kotmpranus	cotemporaneous
ktmpranus	contemporaneous
kotre	coterie
kotj	cottage
kotn	cotton
kauch	couch
kugr	cougar
kd	could
ksel	council
kselr	councilor
knt	count
kntd	counted
kntes	countess
	
# Page 45 Column 1	
kntl	countless
n-kntd	uncounted
ktnans	countenance
dsktnans	discountenance
k^	counter
k^ak	counteract
k^bal	counterbalance
k^klam	counterclaim
k^fet	counterfeit
k^fetd	counterfeited
k^e~tnt	counterirritant
k^man	countermand
k^man^t	countermanded
k^min	countermine
k^mind	countermined
k^pt	counterpart
k^oe	counterpoint
kt	country
ktsi	countryside
kte	county
kupa	coupe
kupl	couple
kupld	coupled
kpn	coupon
krj	courage
	
# Page 45 Column 2	
krjus	courageous
dskrj	discourage
