# Page 64 Column 1	
ech	each
elestd	elicited
elid	elide
elesh	elision
elejb	eligible
elej^b	eligibility
enelejb	ineligible
elemnat	eliminate
	
# Page 66 Column 2	
elemnatd	eliminated
elemnsh	elimination
elemnatv	eliminative
alet	elite
elexer	elixir
eleps	ellipse
elepss	ellipsis
elepsoe	ellipsoid
eleptek	elliptic
elept^k	elliptical
eloksh	elocution
elokshes	elocutionist
elongat	elongate
elngsh	elongation
elok	eloquent
elok	eloquence
g^elok	grandiloquent
ls	else
lsar	elsewhere
elusedt	elucidate
elusedsh	elucidation
elud	elude
e,lsh	elusion
e,lusv	elusive
e,lusre	elusory
	
# Page 66 Column 3	
emasha&'t	emaciate
emasha&'td	emaciated
emasha&'sh	emaciation
emnat	emanate
emnatd	emanated
emnsh	emanation
emnsep	emancipate
emnsepsh	emancipation
emnsep^r	emancipator
mbankm	embankment
mbago	embargo
mbarkash	embarkation
mbaras	embarrass
mbarast	embarrassed
mbarass	embarrasses
mbarasm	embarrassment
mbase	embassy
ambas	ambassador
mbezl	embezzle
mbezld	embezzled
mbezlm	embezzlement
mbezlr	embezzler
mblem	emblem
mblem^a	emblematic
mbo	embody
	
# Page 67 Column 1	
mbos	embodies
mbom	embodiment
mboldn	embolden
mboldnd	emboldened
mbras	embrace
mbroede~	embroider
mbroede~es	embroideries
mbroede~e	embroidery
mbreonek	embryonic
emndsh	emendation
emrld	emerald
emej	emerge
emejd	emerged
emej	emergence
emejse	emergency
emejnt	emergent
eme~tus	emeritus
emeg	emigrate
emeg	emigrant
emegsh	emigration
emeg	immigrate
emn	eminent
emns	eminence
emne	eminently
emn	imminent
	
# Page 67 Column 2	
emesare	emissary
emet	emit
emsh	emission
emolent	emollient
emolm	emolument
emosh	emotion
emoshl	emotional
emosha|	emotionally
unemoshl	unemotional
mprr	emperor
mpres	empress
mfass	emphasis
mfass^t	emphasized
mfasss	emphasizes
mf^a	emphatic
mpi	empire
mperk	empiric
mper^k	empirical
mperss	empiricism
mpl	employ
mple	employee
mplr	employer
mplm	employment
n-mplm	unemployment
mporm	emporium
	
# Page 67 Column 3	
mte	empty
mted	emptied
mte^st	emptiest
mtenes	emptiness
em^u	emulate
emlus	emulous
emulsf	emulsify
emulsh	emulsion
enb	enable
en^b	inability
nb	unable
enak	enact
enakm	enactment
renak	reenact
enaml	enamel
enamld	enameled
n-kampm	encampment
nchant	enchant
nchantd	enchanted
nchantm	enchantment
nsekl	encircle
nk	enclose
nk^r	enclosure
n-komn	encomium
n-kom^st	encomiastic
	
# Page 68 Column 1	
an-kor	encore
n-k^	encounter
n-k^d	encountered
n-ks^	encounters
n-krj	encourage
dskrj	discourage
n-krjd	encouraged
n-krjm	encouragement
n-krjs	encourages
n-krochm	encroachment
n-kmbrans	encumbrance
n-sikl^k	encyclical
n-siklopda&'	encyclopedia
n-siklopdek	encyclopedic
nd	end
ndd	ended
ndl	endless
n-nd'	unending
ndnje~	endanger
ndnje~d	endangered
n-dem	endearment
n-dvr	endeavor
ndmek	endemic
ndos	endorse
ndosm	endorsement
	
# Page 68 Column 2	
n-ndost	unendorsed
ndau	endow
ndaud	endowed
ndaum	endowment
n-ndaud	unendowed
ndr	endure
ndrb	endurable
ndrans	endurance
n-ndrb	unendurable
eneme	enemy
n^mt	enmity
enem^k	inimical
nrj	energy
nrj^a	energetic
nrjiz	energize
nfeb	enfeeble
nfold	enfold
nfs	enforce
nfsb	enforceable
nfst	enforced
nfsm	enforcement
nfss	enforces
rnfs	reenforce
nfranch	enfranchise
nfranchm	enfranchisement
	
# Page 68 Column 3	
n-ga	engage
dsn-ga	disengage
n-gam	engagement
n-gas	engages
rn-ga	reengage
njn	engine
njne~	engineer
engsh	English
n-gravr	engraver
n-gros	engross
en'ans	enhance
en'ansm	enhancement
unen'anst	unenhanced
enegma	enigma
enegm^a	enigmatic
njoen	enjoin
njoend	enjoined
njnk	injunction
njoe	enjoy
njoeb	enjoyable
njoed	enjoyed
njoem	enjoyment
njoes	enjoys
nlaj	enlarge
nlajd	enlarged
	
# Page 69 Column 1	
nlajm	enlargement
nlin	enlighten
nlind	enlightened
nlinm	enlightenment
n-nlind	unenlightened
nls	enlist
nlsm	enlistment
nls-s	enlists
rnls-s	reenlists
nlavn	enliven
n^mt	enmity
enob	ennoble
enobm	ennoblement
angne_	ennui
enom	enormous
enomete	enormity
enome	enormously
nuf	enough
nraptr	enrapture
nrech	enrich
nrecht	enriched
nrechm	enrichment
n-skns	ensconce
n-sin	ensign
nselj	ensilage
	
# Page 69 Column 2	
nslav	enslave
n-su	ensue
n-sud	ensued
n-sus	ensues
ntablatr	entablature
ntal	entail
ntald	entailed
ntangl	entangle
dsntangld	disentangled
n^	enter
n^d	entered
ns^	enters
n^ns	entrance
n^nt	entrant
ntre	entry
rn^	reenter
n^pris	enterprise
n-n^pris'	unenterprising
n^tn	entertain
n^tnd	entertained
n^tnr	entertainer
n^tnm	entertainment
nthrol	enthrall
nthrold	enthralled
nthron	enthrone
	
# Page 69 Column 3	
nthrond	enthroned
nthus	enthusiasm
nthus-st	enthusiast
nthus^st	enthusiastic
nthus^sta|	enthusiastically
n-nthus^st	unenthusiastic
ntis	entice
ntist	enticed
ntiss	entices
nti	entire
nta&e	entirely
ntite	entirety
ntit	entitle
ntete	entity
ntum	entomb
ntumd	entombed
ntum-m	entombment
ntm^o(	entomology
ntran	entrain
n^ns	entrance
ntrap	entrap
n^t	entreat
ntrs	entrust
ntre	entry
ntrea_	entryway
	
# Page 70 Column 1	
nti_n	entwine
nti_nd	entwined
eneum	enumerate
eneumsh	enumeration
eneum^r	enumerator
enunsa&'	enunciate
enunsa&'sh	enunciation
enunsa&'^r	enunciator
nvl	envelope
nvlm	envelopment
nvirns	environs
nvirnm	environment
nvoe	envoy
nve	envy
nveb	enviable
nvus	envious
n-nveb	unenviable
nzim	enzyme
epolet	epaulette
efemerl	ephemeral
efemerla|	ephemerally
epk	epic
ep^k	epical
epkr	epicure
epkrn	epicurean
	
# Page 70 Column 2	
eptmek	epidemic
epdemek	epidermic
epdemes	epidermis
epglotes	epiglottis
ep^g	epigram
epelepse	epilepsy
epelep	epileptic
epelog	epilogue
epesk	episcopal
epesk^a&'n	episcopalian
epesod	episode
epesodek	episodic
epesl	epistle
eptaf	epitaph
epthe~lm	epithelium
epthet	epithet
eptme	epitome
eptmiz	epitomize
epok	epoch
ep^k	epochal
ekb	equable
ek^b	equability
ekl	equal
eku	equality
eklezash	equalization
	
# Page 70 Column 3	
ekliz	equalize
ekle	equally
unekld	unequaled
eka_n^mt	equanimity
eka_sh	equation
eka_te~	equator
eka_trl	equatorial
eke_stra&'n	equestrian
eka&'_ngu	equiangular
eke_dstnt	equidistant
eke_lat	equilateral
eke_leb	equilibrium
eke_leb^st	equilibrist
eki_n	equine
eke_nox	equinox
eke_noksh	equinoctial
eke_p	equip
eke_pj	equipage
eke_pm	equipment
eke_te	equity
eke_tb	equitable
eneke_tb	inequitable
eneke_te	inequity
eke_v	equivalent
eke_v^k	equivocal
	
# Page 71 Column 1	
eke_vk	equivocate
eke_vksh	equivocation
eke_vk^r	equivocator
eradek	eradicate
eradekb	eradicable
eradeksh	eradication
eneradekb	ineradicable
eras	erase
erasb	erasable
eraser	eraser
erashu	erasure
erek	erect
erektl	erectile
erek^l	erectility
ereksh	erection
ereknes	erectness
erekr	erector
ergo	ergo
e~mn	ermine
erod	erode
erosh	erosion
erosv	erosive
er	err
aberash	aberration
erata	errata
	
# Page 71 Column 2	
er^a	erratic
eratm	erratum
enerant	inerrant
uner^e	unerringly
erand	errand
err	error
eronus	erroneous
erudi	erudite
erudsh	erudition
erp	erupt
erpsh	eruption
erp^v	eruptive
eresep	erysipelas
esklate~	escalator
eskpa	escapade
eskp	escape
eskpt	escaped
eskpm	escapement
enes)kpb	inescapable
eschet	escheat
eschu	eschew
eschul	eschewal
eskot	escort
eskotd	escorted
unes)kotd	unescorted
	
# Page 71 Column 3	
eskro	escrow
eskchn	escutcheon
esp	especial
espe	especially
espnj	espionage
esplanad	esplanade
espaus	espouse
espausl	espousal
espre	esprit
eski	esquire
esa^st	essayist
esns	essence
esnsh	essential
esnsha|	essentially
ke_ntes)ns	quintessence
estbm	establishment
est	estate
estm	esteem
estmd	esteemed
estmb	estimable
enes)tmb	inestimable
esth^a	esthetic
estmat	estimate
estmatd	estimated
estmsh	estimation
	
# Page 72 Column 1	
estmate~	estimator
estp	estop
estpl	estoppel
estjd	estranged
estjm	estrangement
estre	estuary
ech	etch
etnl	eternal
etna|	eternally
etnte	eternity
eth)	ether
ethl	ethereal
ethliz	etherealize
etheks	ethics
eth^k	ethical
uneth^k	unethical
ethnek	ethnic
ethn^o(	ethnology
ethl	ethyl
etm^o(	etymology
eukleptus	eucalyptus
eukr	euchre
eulje	eulogy
euljiz	eulogize
eufm-sm	euphemism
	
# Page 72 Column 2	
eufm^st	euphemistic
eufne	euphony
evakeut	evacuate
evakeutd	evacuated
evakeush	evacuation
evad	evade
evadd	evaded
evash	evasion
evasv	evasive
evleut	evaluate
evleutd	evaluated
evlsh	evaluation
evanesnt	evanescent
evanesns	evanescence
evanj^st	evangelist
evanj^k	evangelical
evap	evaporate
evapsh	evaporation
evn'	evening
evnt	event
evntf	eventful
evntl	eventual
evnt^l	eventuality
evntle	eventually
evnteut	eventuate
	
# Page 72 Column 3	
unevntf	uneventful
ev	ever
otev	whatever
enev	whenever
arev	wherever
chev	whichever
eve	every
evbo	everybody
ev'	everything
evar	everywhere
evek	evict
eveksh	eviction
evdn	evident
evdns	evidence
evl	evil
eve|	evilly
evens	evince
evk	evoke
evkash	evocation
evol	evolve
evolsh	evolution
evolshes	evolutionist
essrbash	exacerbation
esak	exact
esaksh	exaction
	
# Page 73 Column 1	
esaktet	exactitude
esaknes	exactness
nes)ak	inexact
esaj	exaggeration
esolt	exalt
esoltsh	exaltation
esoltd	exalted
esamn	examine
esamnsh	examination
esamp	example
esemp^re	exemplary
esemp^f	exemplification
esempf	exemplify
samp	sample
nes)amp^t	unexampled
esasp	exasperate
esaspsh	exasperation
eskavat	excavate
eskavash	excavation
eskavate~	excavator
esed	exceed
esedd	exceeded
es-l	excel
es-ld	excelled
es-l	excellence
	
# Page 73 Column 2	
es-le	excellency
es-l	excellent
es-lsor	excelsior
sep	except
sepshb	exceptionable
nsepshb	unexceptionable
esep	excerpt
eses	excess
esesv	excessive
es(ch	exchange
es(chb	exchangeable
es(chekr	exchequer
esis	excise
esesh	excision
esit	excite
esit^b	excitability
esitb	excitable
esit-nt	excitant
esetsh	excitation
esit-m	excitement
esite~	exciter
es^m	exclaim
es^md	exclaimed
es^msh	exclamation
es^mre	exclamatory
	
# Page 73 Column 3	
es^d	exclude
es^dd	excluded
es^sh	exclusion
es^sv	exclusive
e^d	include
e^dd	included
eskmu	excommunicate
eskora^'t	excoriate
eskresns	excrescence
eskrsha&'t	excruciate
esklpat	exculpate
esklpash	exculpation
esklpatre	exculpatory
eskrsh	excursion
eskeu	excuse
eskeub	excusable
eskeus	excuses
nes)keub	inexcusable
esekra	execrate
esekrb	execrable
esekrash	execration
esk	execute
esknt	executant
esksh	execution
eskshe~	executioner
	
# Page 74 Column 1	
esekv	executive
esk^r	executor
esk^rex	executrix
esempf	exemplify
esemp^r	exemplar
esemp^re	exemplary
esemp^f	exemplification
esemt	exempt
esemsh	exemption
eseka_te~	exequatur
es-r	exercise
es-rs	exercises
es(e~t	exert
es(e~td	exerted
es(esh	exertion
es'al	exhale
es'alash	exhalation
esos	exhaust
esosb	exhaustible
esossh	exhaustion
esosv	exhaustive
esosl	exhaustless
nesosb	inexhaustible
esebt	exhibit
esebtd	exhibited
	
# Page 74 Column 2	
esebsh	exhibition
esebte~	exhibitor
eselra	exhilarate
eselrash	exhilaration
esot	exhort
esotsh	exhortation
esotd	exhorted
es'eum	exhume
es'eumsh	exhumation
es'eumd	exhumed
en'eum	inhume
esejnt	exigent
esejse	exigency
eseg	exiguous
esil	exile
esild	exiled
ess(	exist
ess(	existence
ess(^nt	existent
eset	exit
esdus	exodus
esofeso	ex officio
esonra	exonerate
esonrash	exoneration
esonra^v	exonerative
	
# Page 74 Column 3	
esobtn	exorbitant
esodem	exordium
es(oterk	exoteric
esoter^k	esoterical
es^a	exotic
espand	expand
espans	expanse
espansb	expansible
espansh	expansion
espansv	expansive
espasha&'t	expatiate
espasha^'td	expatiated
espasha^'sh	expatiation
esptra&'t	expatriate
esp	expect
espnse	expectancy
esp^nt	expectant
espsh	expectation
nesp^te	unexpectedly
espktra	expectorate
espdnt	expedient
espdns	expedience
espdi	expedite
espdsh	expedition
espdesh	expeditious
	
# Page 75 Column 1	
espl	expel
espld	expelled
esplsh	expulsion
espnd	expend
espndetr	expenditure
espns	expense
espnsv	expensive
spe	experience
nspe^t	inexperienced
esprem	experiment
espr^m	experimental
espremsh	experimentation
espremr	experimenter
espe~t	expert
espa&'t	expiate
espa&'sh	expiation
espa&'tre	expiatory
espi	expire
esprash	expiration
espl	explain
esplb	explainable
esplsh	explanation
espl^re	explanatory
espletv	expletive
esplekb	explicable
	
# Page 75 Column 2	
nesplekb	inexplicable
esplest	explicit
esplod	explode
esplosh	explosion
esploe	exploit
esploesh	exploitation
esplr	explore
esplrash	exploration
esplratre	exploratory
espon	exponent
esponsh	exponential
espot	export
espotb	exportable
espotsh	exportation
espotd	exported
espote~	exporter
espo	expose
espos	exposes
esposh	exposition
espos^r	expositor
espos^re	expository
espos^u	expostulate
espn	expound
espr	express
esprj	expressage
	
# Page 75 Column 3	
esprb	expressible
espresh	expression
esprv	expressive
esprman	expressman
nespr^t	unexpressed
esprpra&'t	expropriate
esprpra&'sh	expropriation
esplsh	expulsion
esplsv	expulsive
espnj	expunge
esprg	expurgate
eskest	exquisite
estant	extant
estmpre	extempore
estmpranus	extemporaneous
estmprre	extemporary
estmprezash	extemporization
estmpriz	extemporize
estn	extend
estn^t	extended
estnsh	extension
estnsv	extensive
estnt	extent
estneut	extenuate
estneutd	extenuated
	
# Page 76 Column 1	
estneush	extenuation
es^or	exterior
es^mnat	exterminate
es^mnsh	extermination
es^mnate~	exterminator
es^nl	external
es^na|	externally
estenk	extinct
estenksh	extinction
esteng	extinguish
estengb	extinguishable
es^pat	extirpate
es^pash	extirpation
estol	extol
estold	extolled
estot	extort
estotd	extorted
estosh	extortion
estoshat	extortionate
es^	extra
	
# Page 76 Column 2	
es^k	extract
es^kb	extractable
es^ksh	extraction
es^kv	extractive
es^kr	extractor
es^di	extradite
es^dib	extraditible
es^dsh	extradition
es^nus	extraneous
es^odn	extraordinary
es^odne	extraordinarily
es^v	extravagant
es^vns	extravagance
es^vnsa	extravaganza
es^m	extreme
es^mes	extremist
es^mt	extremity
es^kat	extricate
es^kash	extrication
es^n-sk	extrinsic
	
# Page 76 Column 3	
es^d	extrude
eseub	exuberant
eseub	exuberancy
esut	exult
esutnt	exultant
esutsh	exultation
esutd	exulted
a	eye
ibol	eyeball
ibar	eyebar
ibrau	eyebrow
iglas	eyeglass
ilash	eyelash
ile	eyelet
iled	eyelid
ipes	eyepiece
is	eyes
isit	eyesight
isor	eyesore
ituth	eyetooth
